author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
Acheson,Dean Gooderham,N/A,N/A,N/A,N/A,Present at the creation: my years in the State Department.,N/A,1969,N/A,W.W. Norton & Co.,New York,798 p.,N/A,N/A,N/A,N/A,Acheson shares his experiences and insights on foreign policy during World War II and the postwar period.,Statesman,1893,1971,N/A,N/A
Acheson,Dean Gooderham,N/A,N/A,N/A,N/A,Sketches from life: of men I have known.,1961,N/A,N/A,Harper and Brothers,New York,206 p.,N/A,N/A,N/A,N/A,A personal analysis of Acheson's career in the State Department and notable figures he worked with.,Statesman,1893,1971,N/A,N/A
Acheson,Edward Goodrich,N/A,N/A,N/A,N/A,"A pathfinder: inventor, scientist, industrialist.",1910,1965,N/A,Acheson Industries,"Port Huron, Michigan",63 p.,N/A,N/A,N/A,N/A,Overview of Acheson's life and contributions to science and industry.,"Inventor, scientist, industrialist",1856,1931,N/A,N/A
Ackerman,Diane,N/A,N/A,N/A,N/A,Twilight of the tenderfoot: a western memoir.,1948,1980,N/A,"William Morrow and Co., Inc.",New York,222 p.,N/A,N/A,N/A,N/A,A contemporary narrative of frontier life by a poet who evaluates cattle ranching.,Poet,1948,N/A,N/A,N/A
Acosta,Mercedes de,N/A,N/A,N/A,N/A,Here lies the heart.,1893,1960,N/A,Reynal and Co.,New York,372 p.,N/A,N/A,N/A,N/A,An account of her quest for a meaningful life as a writer.,Writer,1893,1967,N/A,N/A
Adair,Cornelia Wadsworth,N/A,N/A,Brown,Montagu K.,"My diary: August 30th to November 5th, 1874.",N/A,1965,N/A,University of Texas Press,Austin,125 p.,N/A,N/A,N/A,N/A,Mrs. Adair kept this diary record of a cross-country trip she took in 1874.,N/A,1838,1921,N/A,N/A
Adamic,Louis,N/A,N/A,N/A,N/A,Dinner at the White House.,1946,N/A,N/A,Harper & Brothers,New York,276 p.,N/A,N/A,N/A,N/A,An account of a January 1942 dinner at the White House with Roosevelt and Churchill.,N/A,1899,1951,N/A,N/A
Adams,Henry,N/A,N/A,Samuels,Ernest,The education of Henry Adams.,1918,1973,N/A,Houghton Mifflin,Boston,705 p.,N/A,N/A,N/A,N/A,Adams analyzes his lifelong process of education and follows his personal development.,"Historian, author",1838,1918,N/A,N/A
Adams,Henry,Cater,Harold D.,N/A,N/A,Henry Adams and his friends; a collection of his unpublished letters.,1947,1970,N/A,Octagon Books,New York,797 p.,N/A,N/A,N/A,N/A,More than 750 unpublished letters providing insight into Adams' intellect and compassion.,N/A,1838,1918,N/A,N/A
Adams,Henry,Arvin,Newton,N/A,N/A,The selected letters of Henry Adams.,N/A,1951,Great letters series.,"Farrar, Straus, and Young, Inc.",New York,279 p.,N/A,N/A,N/A,N/A,"A collection of previously published letters spanning 60 years, showcasing Adams' intellectual development.",N/A,1838,1918,N/A,N/A
Adamic,Louis,N/A,N/A,N/A,N/A,My America: 1928-1938.,1938,1976,N/A,Da Capo Press,New York,669 p.,N/A,N/A,N/A,N/A,A narrative combining personal and social history during 1929-1939 framed through the author's immigrant experience.,Author,1899,1951,N/A,N/A
Adams,Joey,N/A,N/A,N/A,N/A,From gags to riches.,N/A,1946,N/A,"Frederick Fell, Inc.",New York,336 p.,N/A,N/A,N/A,N/A,A narrative filled with quips and gossip about the comedian's experiences in the New York show business.,Comedian,1911,N/A,N/A,N/A
Adamic,Louis,N/A,N/A,N/A,N/A,The native's return; an American immigrant visits Yugoslavia and discovers his old country.,1934,N/A,N/A,Harper & Brothers,New York,370 p.,N/A,N/A,N/A,N/A,Adamic visits Yugoslavia after nineteen years to reveal both its beauty and its political turmoil.,Author,1899,1951,N/A,N/A
Adams,Joey,Adams,Cindy,N/A,N/A,Cindy and I: the real life adventures of Mr. and Mrs. Joey Adams.,N/A,1957,N/A,Crown Publishers,New York,320 p.,N/A,N/A,N/A,N/A,An anecdotal account of the marriage between comedian Joey Adams and his wife Cindy.,Comedian,1911,N/A,N/A,N/A
Adams,Abigail,N/A,N/A,Adams,Charles Francis,"Familiar letters of John Adams and his wife Abigail Adams, during the Revolution; with a memoir of Mrs. Adams.",1876,1970,N/A,Books for Libraries Press,"Freeport, New York",424 p.,N/A,N/A,N/A,N/A,A collection of letters revealing the feelings between John and Abigail Adams during the Revolutionary struggle.,N/A,1744,1818,N/A,N/A
Adams,Abigail,N/A,N/A,Mitchell,Stewart,"New letters of Abigail Adams, 1788-1801.",1947,1973,N/A,"Greenwood Press, Inc.","Westport, Connecticut",281 p.,N/A,N/A,N/A,N/A,"A collection of 141 previously unpublished letters from Abigail Adams, focusing on her life and her husband's political career.",N/A,1744,1818,N/A,N/A
Adams,Charles Francis,N/A,N/A,Friedlaender,Marc,Diary of Charles Francis Adams.,N/A,1964,6v.,Belknap Press of Harvard University Press,Cambridge,N/A,N/A,N/A,N/A,N/A,"A full publication of the diary kept by Charles Francis Adams, grandson and son of U.S. Presidents.",N/A,1807,1886,N/A,N/A
Adams,Joey,N/A,N/A,N/A,N/A,The God bit.,N/A,1974,N/A,Mason & Lipscomb Publishers,New York,252 p.,N/A,N/A,N/A,N/A,A collection of humorous and serious anecdotes reflecting a faith in God.,"Comedian, author",1911,N/A,N/A,N/A
Adams,John,N/A,N/A,Cappon,Lester J.,Adams-Jefferson letters: the complete correspondence between Thomas Jefferson and Abigail and John Adams.,N/A,1959,2v.,University of North Carolina Press,Chapel Hill,N/A,N/A,N/A,N/A,N/A,Includes the complete correspondence between Thomas Jefferson and the Adamses.,N/A,1735,1826,N/A,N/A
Adams,John,Warren,Mercy,Adams,Charles F.,Correspondence between John Adams and Mercy Warren.,1878,1972,N/A,Arno Press,New York,436 p.,N/A,N/A,N/A,N/A,A lively exchange between Adams and Warren over the publication of her history of the American Revolution.,N/A,1735,1826,N/A,N/A
Adams,John,N/A,N/A,Butterfield,L.H.,Diary and autobiography.,N/A,1961,4v.,Harvard University Press,"Cambridge, Massachusetts",N/A,N/A,N/A,N/A,N/A,"Includes Adams' diaries and autobiographical parts, detailing his life and thoughts.",N/A,1735,1826,N/A,N/A
Adams,John,N/A,N/A,Butterfield,L.H.,The earliest diary of John Adams: June 1753-April 1754; September 1758-January 1759.,N/A,1966,N/A,Belknap Press of Harvard University Press,Cambridge,120 p.,N/A,N/A,N/A,N/A,Fragments illuminating John Adams' early thoughts and concerns.,N/A,1735,1826,N/A,N/A
Adams,John,N/A,N/A,Donovan,Frank,The John Adams papers.,1965,N/A,N/A,"Dodd, Mead and Co.",New York,335 p.,N/A,N/A,N/A,N/A,"Selected letters, papers, and other documents are arranged to show John Adams as a lawyer, congressman, diplomat, peacemaker, political philosopher, Vice-President, President, and old man.","Lawyer, Congressman, Diplomat, Political Philosopher, Vice-President, President",1735,1826,N/A,N/A
Adams,John,N/A,N/A,Taylor,Robert J.,The papers of John Adams.,N/A,1979,4v.,Belknap Press of Harvard University Press,"Cambridge, Massachusetts",N/A,N/A,N/A,N/A,N/A,"This judicious selection of Adams' papers includes letters to and from friends and acquaintances; committee reports; polemical writings, published and unpublished; and state papers which he contributed.",N/A,1735,1826,N/A,N/A
Adams,John Quincy,N/A,N/A,Nevins,Allan,"Diary of John Quincy Adams, 1794-1845: American diplomacy and political, social, and intellectual life from Washington to Polk.",1928,1969,N/A,Frederick Ungar,New York,586 p.,N/A,N/A,N/A,N/A,A selection from a twelve-volume Memoirs published between 1874 and 1877 traces a lifetime of public service in domestic and foreign affairs.,N/A,1767,1848,N/A,N/A
Adams,John Quincy,N/A,N/A,LaFeber,Walter,"John Quincy Adams and American continental empire: letters, papers and speeches.",1965,N/A,N/A,Quadrangle Books,Chicago,157 p.,N/A,N/A,N/A,N/A,"A selection of writings by the sixth U.S. president intended to reveal his mind, his passions, his views of the world's political, economical, and ideological systems.",N/A,1767,1848,N/A,N/A
Adams,John Quincy,N/A,N/A,Adams,Charles Francis,John Quincy Adams in Russia: comprising portions of the diary of John Quincy Adams from 1809-1814.,1874,1970,Volume II,Praeger Publishers,New York,662 p.,N/A,N/A,N/A,N/A,"A reprint of Volume II of his memoirs, comprising the record of his experiences during his successful mission to the court of Czar Alexander I.",N/A,1767,1848,N/A,N/A
Addie,Pauline,Betz,N/A,N/A,N/A,Wings on my tennis shoes.,1949,N/A,N/A,"Sampson Low, Marston and Co., Ltd.",London,198 p.,N/A,N/A,N/A,N/A,The development of her career in tennis and her achievements as a professional player.,Professional Tennis Player,1919,N/A,N/A,N/A
Ade,George,N/A,N/A,Tobin,Terence,Letters of George Ade.,1973,N/A,N/A,Purdue University Studies,"West Lafayette, Indiana",251 p.,N/A,N/A,N/A,N/A,"With keen observation tempered by humor, Ade wrote stories and fables populated with characters typical of his small-town Indiana background.","Journalist, Author, Playwright",1866,1944,N/A,N/A
Adler,Cyrus,N/A,N/A,Rosenbach,A.S.W.,I have considered the days.,1941,1969,N/A,Burning Bush Press,New York,447 p.,N/A,N/A,N/A,N/A,"Adler writes with thoughtful eloquence of his distinguished career as a Middle Eastern scholar, president of the Jewish Theological Seminary of America.","Middle Eastern Scholar, President of the Jewish Theological Seminary of America",1863,1940,N/A,N/A
Adler,Mortimer Jerome,N/A,N/A,N/A,N/A,Philosopher at large: an intellectual autobiography.,N/A,1977,N/A,Macmillan Publishing Co.,New York,349 p.,N/A,N/A,N/A,N/A,"Adler discusses his career as a popularizer of philosophy, particularly under the aegis of Robert Hutchins at the University of Chicago.",Philosopher,1902,N/A,N/A,N/A
Adler,Polly,N/A,N/A,N/A,N/A,A house is not a home.,1953,N/A,N/A,Rinehart and Co.,New York,374 p.,N/A,N/A,N/A,N/A,"A madam explains her life as a prostitute and madam in New York City, involving the Roaring Twenties, gangsters, and social stigma.",Madam,1900,1962,N/A,N/A
Adlum,John,N/A,N/A,Peckham,Howard H.,Memoirs of the life of John Adlum in the Revolutionary War.,N/A,1968,N/A,"Caxton Club, for the William L. Clements Library Associates",Chicago,143 p.,N/A,N/A,N/A,N/A,An engaging account of a young patriot's participation in the Revolutionary War.,N/A,1759,1836,N/A,N/A
Agee,James,N/A,N/A,N/A,N/A,The last letter of James Agee to Father Flye.,N/A,1969,N/A,Godine,Boston,4 p.,N/A,N/A,N/A,N/A,"Dated May 11, 1955, this last letter to Father Flye was found unmailed in Agee's living room.",N/A,1909,1955,N/A,N/A
Agee,James,N/A,N/A,N/A,N/A,Letters of James Agee to Father Flye.,1962,1971,N/A,Houghton Mifflin Co.,Boston,267 p.,N/A,N/A,N/A,N/A,Letters (1925-1955) reveal the bond of understanding and shared feelings between Agee and Father Flye.,Writer,1909,1955,N/A,N/A
Aherne,Brian,N/A,N/A,N/A,N/A,A proper job.,N/A,1969,N/A,Houghton Mifflin Co.,Boston,355 p.,N/A,N/A,N/A,N/A,"Born in England, Aherne acted in movies and on stage before making his debut on Broadway and in American films.",Actor,1902,N/A,N/A,N/A
Aiken,Conrad Potter,N/A,N/A,N/A,N/A,Ushant: an essay.,1952,1971,N/A,Oxford University Press,New York,365 p.,N/A,N/A,N/A,N/A,An interior monologue autobiography that stresses the emotional and psychological life of the author in England.,"Poet, Author",1889,1973,N/A,N/A
Albee,Fred Houdlett,N/A,N/A,N/A,N/A,A surgeon's fight to rebuild men: an autobiography.,1943,1950,N/A,R. Hale,London,270 p.,N/A,N/A,N/A,N/A,Recollections of a long active life in surgery including descriptions of innovative techniques and worldwide recognition of his work.,Surgeon,N/A,N/A,N/A,N/A
Albert,David E.,N/A,N/A,N/A,N/A,Dear Grandson.,1950,N/A,N/A,"Olivier, Maney and Co.",Philadelphia,215 p.,N/A,N/A,N/A,N/A,"A letter to the author's 13-year-old grandson, detailing his adventures escaping from Russia to America.",N/A,1878,N/A,N/A,N/A
Albert,Herman W.,N/A,N/A,N/A,N/A,Odyssey.,N/A,1967,N/A,University of Oklahoma Press,Norman,260 p.,N/A,N/A,N/A,N/A,"A story of prospecting as a desert prospector, focusing on the experiences and memories gained.",N/A,1882,N/A,N/A,N/A
Alcott,Amos Bronson,N/A,N/A,Herrnstadt,Richard L.,Letters of A. Bronson Alcott.,N/A,1969,N/A,Iowa State University Press,"Ames, Iowa",846 p.,N/A,N/A,N/A,N/A,"The first collection of all extant Alcott letters printed in full, providing insight into his character and interests.",N/A,1799,1888,N/A,N/A
Alcott,Louisa May,N/A,N/A,Cheney,Ednah D.,"Louisa May Alcott: her life, letters, and journals.",1889,N/A,N/A,Roberts Brothers,Boston,404 p.,N/A,N/A,N/A,N/A,"Letters and journal entries are arranged chronologically, including accounts of her writing process and extensive reading.",Author,1832,1888,N/A,N/A
Alger,Philip Langdon,N/A,N/A,N/A,N/A,Tales of my life and family.,1974,N/A,N/A,The Author,New York,261 p.,N/A,N/A,N/A,N/A,Alger recounts his career as an engineer at General Electric and his involvement in local governance.,Engineer,1894,N/A,N/A,N/A
Aldrich,Mildred,N/A,N/A,N/A,N/A,"A hilltop on the Marne, being letters written June 3-September 8, 1914.",1915,N/A,N/A,Houghton Mifflin Co.,Boston,187 p.,N/A,N/A,N/A,N/A,A series of letters written by a New Englander living above the Marne in France at the onset of World War I.,N/A,1853,1928,N/A,N/A
Allen,Arthur James,N/A,N/A,N/A,N/A,A whaler & trader in the Arctic: 1895-1944: my life with the Bowhead.,1978,N/A,N/A,Alaska Northwest Publishing Co.,Anchorage,213 p.,N/A,N/A,N/A,N/A,Allen recounts his adventures as a whaler and trader of whale ivory and sealskin in Alaska.,"Whaler, Trader",1875,1944,N/A,N/A
Allen,Asa Alonso,N/A,N/A,Wagner,Walter,"Born to lose, bound to win: an autobiography.",N/A,1970,N/A,"Doubleday and Co., Inc.",New York,202 p.,N/A,N/A,N/A,N/A,A poor Missouri farmer becomes a successful preacher and evangelist for the Pentecostal Church during the Depression.,"Preacher, Evangelist",1911,1970,N/A,N/A
Aldrin,"Edwin E. ""Buzz""",N/A,N/A,Warga,Wayne,Return to earth.,N/A,1973,N/A,Random House,New York,338 p.,N/A,N/A,N/A,N/A,"Aldrin writes about the training, the trip to the moon, and his experiences with public relations after the historic moon landing.",Astronaut,1930,N/A,N/A,N/A
Alexander,Eveline Martin,N/A,N/A,Myres,Sandra L.,"Cavalry wife: diary of Eveline M. Alexander, 1866-1867.",N/A,1977,N/A,Texas A & M University Press,College Station,175 p.,N/A,N/A,N/A,N/A,A diary chronicling her journey to join her husband and experiences with him during active duty among the Indian nations.,N/A,1843,1922,N/A,N/A
Alexander,Guy B.,N/A,N/A,N/A,N/A,Chromatography: an adventure in graduate school.,N/A,1977,N/A,American Chemical Society,"Washington, DC",165 p.,N/A,N/A,N/A,N/A,A look at the experience of being a graduate student doing research on chromatography in the late 1940's.,Chemist,1918,N/A,N/A,N/A
Alexander,Holmes,N/A,N/A,N/A,N/A,Pen and politics: the autobiography of a working writer.,N/A,1970,N/A,West Virginia University Library,Morgantown,212 p.,N/A,N/A,N/A,N/A,The autobiography of a working writer who gives up security to pursue a life of writing.,Writer,1906,N/A,N/A,N/A
Alexander,Lloyd,N/A,N/A,N/A,N/A,My love affair with music.,1960,N/A,N/A,Thomas Y. Crowell Co.,New York,274 p.,N/A,N/A,N/A,N/A,An author writes of his passion for music and the arts as an ordinary man.,Author,1924,N/A,N/A,N/A
Alexander,Morris,N/A,N/A,N/A,N/A,Israel and me: a behind-the-scenes look by a longtime U.S. Zionist leader and returned Israeli immigrant.,N/A,1976,N/A,"Schenkman Publishing Co., Two Continents Publishing Group","Cambridge, Massachusetts",N/A,N/A,N/A,N/A,N/A,Alexander focuses on the establishment of Israel as a nation and his role in supporting emerging Zionist organizations.,"Lawyer, Zionist Leader",1909,N/A,N/A,N/A
Allen,Steve,N/A,N/A,N/A,N/A,Mark it and strike it: an autobiography.,1960,N/A,N/A,"Holt, Rinehart and Winston",New York,432 p.,N/A,N/A,N/A,N/A,"A critical review of his career as an entertainer on radio and television, with an interesting analysis on the subject of comedy.",Entertainer,N/A,N/A,N/A,N/A
Allin,"Benjamin Casey, III",N/A,N/A,Nicolson,John,Reaching for the sea.,1956,N/A,N/A,Meador Publishing Co.,Boston,294 p.,N/A,N/A,N/A,N/A,"Allin, a civil engineer and expert on port construction, tells about his extensive work at the ports of Houston, Stockton, San Francisco, The Dalles (Oregon), Miami, and Port Bhavnagar, India. He also describes his world travels, 1906-10, illustrated with many photographs.",Civil Engineer,1886,1960,N/A,N/A
Allison,John Moore,N/A,N/A,N/A,N/A,"Ambassador from the prairie; or, Allison wonderland.",1973,N/A,N/A,Houghton Mifflin Co.,Boston,400 p.,N/A,N/A,N/A,N/A,"The author writes of his thirty-year career in the Foreign Service, beginning as a clerk and ending as ambassador, especially concerned with aspects of American foreign policy with respect to Asia.",Diplomat,1905,N/A,N/A,N/A
Allyn,Joseph Pratt,N/A,N/A,Nicolson,John,"The Arizona of Joseph Pratt Allyn: letters from a pioneer judge: observations and travels, 1863-1866.",1974,N/A,N/A,University of Arizona Press,Tucson,284 p.,N/A,N/A,N/A,N/A,"Allyn wrote these letters to his newspaper editor friend Charles Warner, recording his travels and information about settlements and outposts, mining operations, Indians, Arizona pioneers, and Mexicans.",Judge,1833,1869,N/A,N/A
Almirall,Leon Vincent,N/A,N/A,N/A,N/A,From college to cow country.,1956,N/A,N/A,"The Caxton Printers, Ltd.","Caldwell, Idaho",471 p.,N/A,N/A,N/A,N/A,"A college graduate raised in Brooklyn, Almirall went to Colorado to become a rancher, sharing experiences of his transformation from tenderfoot to cowboy.",Rancher,1884,N/A,N/A,N/A
Alsop,Guliema Fell,N/A,N/A,N/A,N/A,Deer Creek; the story of a golden childhood.,1947,N/A,N/A,Vanguard Press,New York,310 p.,N/A,N/A,N/A,N/A,"Describes the author's middle-class childhood in the 1880's, the strong influence of her Grandma May in rural Deer Creek, Pennsylvania.",N/A,1881,1978,N/A,N/A
Alvarez,Walter Clement,N/A,N/A,N/A,N/A,Alvarez.,1977,N/A,N/A,Strawberry Hill Press,San Francisco,152 p.,N/A,N/A,N/A,N/A,"Alvarez looks back on 93 years as a physician and son of a physician, focusing on emotional and physiological causes of stomach and intestinal disorders.",Physician,1884,1978,N/A,N/A
Alvarez,Walter Clement,N/A,N/A,N/A,N/A,Incurable physician: an autobiography.,1963,N/A,N/A,"Prentice-Hall, Inc.","Englewood Cliffs, New Jersey",274 p.,N/A,N/A,N/A,N/A,"Known as 'America's family doctor', this book reflects his popularity and critiques on subjects like Freud and conformity while portraying his compassionate nature.",Physician,1884,1978,N/A,N/A
Alvin,Joe (Joseph A. Czyzewski),N/A,N/A,N/A,N/A,Light of Notre Dame.,1978,N/A,N/A,Dorrance & Co.,Philadelphia,235 p.,N/A,N/A,N/A,N/A,"Alvin uses 'The Lady of the Golden Dome of the University of Notre Dame' as an inspiration for his life, focusing on his career as a journalist and PR man in Hollywood.","Journalist, Public Relations",1908,N/A,N/A,N/A
Alzado,Lyle Martin,Zimmerman,Paul,N/A,N/A,Mile high: the story of Lyle Alzado and the amazing Denver Broncos.,1978,N/A,N/A,Atheneum,New York,230 p.,N/A,N/A,N/A,N/A,"The account emphasizes Alzado's rise from a Brooklyn slum to the Super Bowl, contrasting his football fierceness with his gentle treatment of his wife and philanthropy.",Football Player,1949,N/A,N/A,N/A
Ameringer,Oscar,N/A,N/A,Sandburg,Carl,If you don't weaken: the autobiography of Oscar Ameringer.,1940,1969,N/A,Greenwood Press,New York,476 p.,N/A,N/A,N/A,N/A,"Ameringer narrates his life as a socialist, his commitment to unionizing labor, and personal struggles in his pursuit of activism.",Socialist Activist,1870,1943,N/A,N/A
Ames,Edward Scribner,N/A,N/A,Ames,Van Meter,Beyond theology: the autobiography of Edward Scribner Ames.,1959,N/A,N/A,University of Chicago Press,Chicago,223 p.,N/A,N/A,N/A,N/A,Ames interweaves narratives of childhood and career with his insights as a philosopher and minister.,"Philosopher, Minister",1870,1958,N/A,N/A
Alsop,Stewart Johonnot Oliver,N/A,N/A,N/A,N/A,Stay of execution; a sort of memoir.,1973,N/A,N/A,J.B. Lippincott Co.,Philadelphia,312 p.,N/A,N/A,N/A,N/A,"Describes his experiences with a rare form of leukemia, his efforts to understand and confront his illness and mortality.",Journalist,1914,1974,N/A,N/A
Alsop,Susan Mary (Jay) Patten,N/A,N/A,N/A,N/A,"To Marietta from Paris, 1945-1960.",1975,N/A,N/A,"Doubleday & Co., Inc.","Garden City, New York",370 p.,N/A,N/A,N/A,N/A,"Letters written during the author's fifteen-year period in Paris, detailing her social life and observations.",N/A,1919,N/A,N/A,N/A
Alston,Walter Emmons,Tobin,Jack,N/A,N/A,A year at a time.,1976,N/A,N/A,Word Books,"Waco, Texas",212 p.,N/A,N/A,N/A,N/A,Alston describes landmark ballgames and his career managing the Dodgers.,Baseball Manager,1911,N/A,N/A,N/A
Alta,N/A,N/A,N/A,N/A,N/A,Momma: a start on all the untold stories.,1974,N/A,N/A,Times Change Press,New York,76 p.,N/A,N/A,N/A,N/A,"A poet writing about love, motherhood, independence, and the paradox of balancing love and freedom.",Poet,1942,N/A,N/A,N/A
Altman,Irvin Larry,N/A,N/A,N/A,N/A,Call of the cricket.,1978,N/A,N/A,Celestial Arts,"Millbrae, California",164 p.,N/A,N/A,N/A,N/A,Harsh memoirs of a 'gentleman thief' detailing his journey from unhappy childhood to criminal adulthood.,N/A,1928,N/A,N/A,N/A
Ames,Oakes,N/A,N/A,Plimpton,Pauline,Oakes Ames: jottings of a Harvard botanist 1874-1950.,1979,N/A,N/A,Harvard University Press,"Cambridge, Massachusetts",401 p.,N/A,N/A,N/A,N/A,A collection of writings revealing Ames's dual identity as a major botanist and a family man.,Botanist,1874,1950,N/A,N/A
Amram,David,N/A,N/A,N/A,N/A,Vibrations: The adventures and musical times of David Amram.,1968,N/A,N/A,The Macmillan Co.,New York,469 p.,N/A,N/A,N/A,N/A,Amram narrates his lifelong love of music and details his experiences with notable orchestras.,Composer,1930,N/A,N/A,N/A
Anderson,Clinton Presba,Viorst,Milton,N/A,N/A,Outsider in the senate: Senator Clinton Anderson's memoirs.,1970,N/A,N/A,World Publishers,New York,328 p.,N/A,N/A,N/A,N/A,Major events of the 1950's and 60's from the perspective of a senator involved in key committees.,Senator,1895,N/A,N/A,N/A
Anderson,Edna M.,N/A,N/A,N/A,N/A,From sunflowers to bluebonnets.,1974,N/A,N/A,The Naylor Co.,"San Antonio, Texas",110 p.,N/A,N/A,N/A,N/A,"Anderson recalls her years as a school teacher, particularly her experiences at a one-room country school in Kansas.",Teacher,1907,N/A,N/A,N/A
