author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
Anderson,David,N/A,N/A,N/A,N/A,Reminiscences of Glasgow,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Education in Glasgow and German universities; tutor in Greece; ministry & parish life, Scotland.","Tutor, minister",N/A,N/A,N/A,N/A
Anderson,David,N/A,N/A,N/A,N/A,Surveyor's Trek,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cambridge; work as civil servant in Nigeria; surveys; tropical life and adventures.,Civil Servant,N/A,N/A,N/A,N/A
Anderson,Doris G.,N/A,N/A,N/A,N/A,Nigger Lover,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experiences of an Englishwoman married to American negro writer; her lecture tours in America; vindication of Christianity.,"Writer, lecturer",N/A,N/A,N/A,N/A
Anderson,James R.,N/A,N/A,N/A,N/A,An Actor's Life,1902,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Theatrical life and actors in London and provinces; tours; Charles Matthews to the Bancrofts.,Actor,N/A,N/A,N/A,N/A
Anderson,Lt.Col. Joseph J.,N/A,N/A,N/A,N/A,Recollections,1913,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Military career and adventures; Peninsular War; at convict station in N.S.W.; Gwalior campaign in India; 1805-48.,Military officer,N/A,N/A,N/A,N/A
Anderson,Capt. Robert Patrick,N/A,N/A,N/A,N/A,Personal Journal of the Siege of Lucknow,1858,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Military affairs and civilian life during the siege.,Military officer,N/A,N/A,N/A,N/A
Anonymous,N/A,N/A,N/A,N/A,N/A,Autobiography of woman's spiritual life & religious struggles,N/A,N/A,N/A,"MS B. M., Add.",N/A,N/A,N/A,N/A,N/A,N/A,Said to be a relation of Cromwell.,N/A,N/A,N/A,N/A,N/A
Anonymous,N/A,N/A,N/A,N/A,N/A,Military Journal,1763,N/A,N/A,"MS, in Cambridge U.L., Add.",N/A,N/A,N/A,N/A,N/A,N/A,Experiences of a prisoner of Cossim Ali at Patna.,N/A,N/A,N/A,N/A,N/A
Jackson,mas,N/A,N/A,N/A,N/A,Life and work of itinerant preacher In Somerset and South of England; 18th Century.,1838,N/A,N/A,N/A,N/A,182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asche,Oscar,N/A,N/A,N/A,N/A,A theatrical autobiography; with Benson and Tree; travels & tours; his roles; sport; anecdotes.,1929,N/A,N/A,N/A,N/A,172,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashhole,Ellas,N/A,N/A,N/A,N/A,"Memoirs: His career as astrologer and goldsmith; a rambling, amusing record; domestic and personal; health; remedies; difficulties; religion.",1717,N/A,N/A,N/A,N/A,183,N/A,N/A,N/A,N/A,N/A,"astrologer, goldsmith",N/A,N/A,N/A,N/A
Ash,George,N/A,N/A,N/A,N/A,Adventure: Life as cowboy and Texas Ranger; adventure in Far East and Palestine; chronicles of a rolling stone.,1923,N/A,N/A,N/A,N/A,173,N/A,N/A,N/A,N/A,N/A,"cowboy, Texas Ranger",N/A,N/A,N/A,N/A
Ashton,Arthur,N/A,N/A,N/A,N/A,"Fifty Years' Work: Attractive, simple picture of life and work of a Suffolk country parson.",1936,N/A,N/A,N/A,Lowestoft,184,N/A,N/A,N/A,N/A,N/A,parson,N/A,N/A,N/A,N/A
Ashbe8,Charles Robert,N/A,N/A,N/A,N/A,"Diary, 1918-1923; work as adviser to the city of Jerusalem; reconstruction; Zionism: & celebrities. A Palestine Notebook.",1923,N/A,L.,N/A,N/A,174,N/A,N/A,N/A,N/A,N/A,adviser,N/A,N/A,N/A,N/A
Ashton,Arthur Jacob,N/A,N/A,N/A,N/A,As I Went on My Way: Lanes schooling; Balliol; legal career and cases; painting in France and Germany.,1924,N/A,N/A,N/A,N/A,185,N/A,N/A,N/A,N/A,N/A,"lawyer, painter",N/A,N/A,N/A,N/A
Ashbridge,Elisabeth,N/A,N/A,N/A,N/A,"Some Account: Quaker's sufferings at hands of drunken soldier husband; family and religious life, 1713-55.",1820,N/A,N/A,Dublin,N/A,175,N/A,N/A,N/A,N/A,N/A,Quaker,N/A,N/A,N/A,N/A
Ashburnham,John,N/A,N/A,N/A,N/A,"A Narrative: Army and political activities; attendant on Charles I from Oxford to Scottish army, 1646-47.",1830,N/A,N/A,N/A,N/A,176,N/A,N/A,N/A,N/A,N/A,military attendant,N/A,N/A,N/A,N/A
Ashby,Lillian Luker,N/A,N/A,N/A,N/A,Kr India: Childhood in Bengal; domestic life in Orissa from 1874; Anglo-Indian life; Sakchi Steel Mills; good familiar knowledge.,1937,N/A,N/A,Boston,N/A,177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashton,Julian Rossi,N/A,N/A,N/A,N/A,Now Came Still (1941): Boyhood in Devon; art studies in London; successful career as portrait-painter in Australia; friend of R. L. Stevenson; his travel and adventures.,1941,N/A,N/A,N/A,N/A,186,N/A,N/A,N/A,N/A,N/A,portrait-painter,N/A,N/A,N/A,N/A
Ashton-Wolfe,Harry,N/A,N/A,N/A,N/A,The Underworld: Thrill of Evil (1928). Work as interpreter at civil & criminal courts abroad; work with Suret Nationals in Paris; international crooks.,1926,1928,N/A,N/A,N/A,187,N/A,N/A,N/A,N/A,N/A,interpreter,N/A,N/A,N/A,N/A
Ashurst,Frederick,N/A,N/A,N/A,N/A,Memoirs: Professional reminiscences of a young country surgeon.,1898,N/A,N/A,N/A,N/A,188,N/A,N/A,N/A,N/A,N/A,country surgeon,N/A,N/A,N/A,N/A
Ashe,Thomas,N/A,N/A,N/A,N/A,Memoirs: Seduces French maid; imprisonment; travel and adventures in N.and S. America; diamond mines; picaresque; it may be fiction.,1815,N/A,N/A,N/A,N/A,178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashwell,Lena,N/A,N/A,N/A,N/A,Myself a Player: Canadian childhood; theatrical career; Irving and Lyceum; management King sway Theatre; concerts in France in WW1; & private life; good.,1936,N/A,N/A,N/A,N/A,189,N/A,N/A,N/A,N/A,N/A,theatrical career,N/A,N/A,N/A,N/A
Ashford,John,N/A,N/A,N/A,N/A,Life's Leaves: Spiritual autobiography in verse; nature; loneliness; religion; source and solace of his poetry.,1869,N/A,N/A,N/A,N/A,179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashworth,John,Calman,A. L.,N/A,N/A,Life and Labours: Methodist upbringing; house-painter; work for Rochdale Chapel for destitute and travel and preaching in England and in America; good details of life of poor in Lanes; diary.,1875,N/A,Manchester,N/A,N/A,190,N/A,N/A,N/A,N/A,N/A,"house-painter, preacher",N/A,N/A,N/A,N/A
BAKER,Thomas,N/A,N/A,N/A,N/A,Battling Life,1885,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Civil service career; Health Department; Royal Sanitary Commission; inspection and public health work; travels and work in India.,Civil servant,N/A,N/A,N/A,N/A
BAKER-CARR,Christopher d'Arcy,N/A,N/A,N/A,N/A,From Chauffeur to Brigadier,1930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Machine guns and tanks in France, WW1.",N/A,N/A,N/A,N/A,N/A
BALDRY,George,N/A,N/A,N/A,N/A,The Rabbit Skin Cap,1939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Autobiography of country laborer in Norfolk from 1869 to 1922; Norfolk dialect.,Laborer,N/A,N/A,N/A,N/A
BAUWIN,Monica,N/A,N/A,N/A,N/A,I Leap Over the Wall,1949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences, impressions, and emotions in the outside world after 28 years in a nunnery; service in WW2 and Stanley Baldwin; very sensitive writing; good.",N/A,N/A,N/A,N/A,N/A
BALDWIN,Oliver,N/A,N/A,N/A,N/A,Six Prisons,1925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Questing Beast; Eton; criticism of schools; socialist; Armenian and Bolshevik revolutions; and his adventures in Anatolia, etc.; labor politics.",N/A,N/A,N/A,N/A,N/A
BALDWIN,William Charles,N/A,N/A,N/A,N/A,African Hunting,1863,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Travels in unexplored Africa from Natal to the Zambesi from 1852; hunting and adventures; natives and their ways.,N/A,N/A,N/A,N/A,N/A
BAUOUR,"Arthur James, 1st Earl of",N/A,N/A,N/A,N/A,Chapters of Autobiography,1930,N/A,N/A,N/A,N/A,N/N,N/A,N/A,N/A,N/A,"Eton; Cambridge; philosophical studies; entry into politics; Parliamentary career; Disraeli, Gladstone, Reform Bill; WW1; Society; important.",Politician,N/A,N/A,N/A,N/A
BALFOUR,Lady Frances,N/A,N/A,N/A,N/A,Ne Obliviscaris,1930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Public and political life and society, 1880-1900.",N/A,N/A,N/A,N/A,N/A
BAUOUR,Harold Harrington,N/A,N/A,N/A,N/A,Airman Marches,1933,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Flying in WW1; journalism for ""Daily Mail""; M.P. Conservative politics; 1914-32.","Journalist, Politician",N/A,N/A,N/A,N/A
BALFOUR,Jabez Spencer,N/A,N/A,N/A,N/A,My Prison Life,1907,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Parkhurst and Portland; routine; the physical & psychological effects; suggestions for reform.,N/A,N/A,N/A,N/A,N/A
BALL,Derrick,N/A,N/A,N/A,N/A,Bungalow by the Beach,1950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experiences of himself and his wife while living on the Caribbean Island of Grenada; domestic life in the tropics.,N/A,N/A,N/A,N/A,N/A
BARSLEY,Michael Henry,N/A,N/A,N/A,N/A,Wolf at the Door,1946,N/A,N/A,Liverpool;Oxford,N/A,N/A,N/A,N/A,N/A,N/A,advertising; radio work with BBC in wartime and odd Jobs; flippant.,"advertiser, radio worker",N/A,N/A,N/A,N/A
BARTIETT,Ellis Ashmead,N/A,N/A,N/A,N/A,Some of Mr Experiences,1918,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences of a journalist during WW1; at sea, France, and Gallipoli; disjointed.",journalist,N/A,N/A,N/A,N/A
BARTLETT,Vernon,N/A,N/A,N/A,N/A,This is My Life,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,His career as a journalist and radio commentator; News-Chronicle and BBC; international affairs.,"journalist, radio commentator",N/A,N/A,N/A,N/A
BARTON,Edwin Alfred,N/A,N/A,N/A,N/A,Doctor Remaabers; Running Water,1941,1944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,His career as a doctor in London; hospitals and Harley Street from 70's; anecdotes and reminiscences of fishing; interesting for medical fashions.,doctor,N/A,N/A,N/A,London
BARTON,Francis Alexander,N/A,N/A,N/A,N/A,Jack of All Trades,1938,N/A,N/A,Dover; Harrow; Cambridge,N/A,N/A,N/A,N/A,N/A,N/A,"medical study and practice in Norwich, etc.; flying; non-alcoholic wine; sport; Victorian social scene; varied and interesting.","doctor, pilot",N/A,N/A,N/A,Norwich
BARTON,"""Freddie"" (Frederick Page)",N/A,N/A,N/A,N/A,We'll Go No More A-Roving,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His social life, travels, sport; at Monte Carlo; career as bridge expert & writer; introduced contract; anecdotes of celebrities.","bridge expert, writer",N/A,N/A,N/A,Monte Carlo
BARTON,Tilney,N/A,N/A,N/A,N/A,Life of a Country Lawyer,1937,N/A,N/A,Oxford,N/A,N/A,N/A,N/A,N/A,N/A,Training as solicitor; work at Truro; official receiver; work with prisoners in Egypt and Jerusalem.,solicitor,N/A,N/A,N/A,"Truro, Egypt, Jerusalem"
BARTRAM,Lady Alfred,N/A,N/A,N/A,N/A,"Recollections of Seven Years' Residence, by a Lady",1830,N/A,N/A,N/A,Mauritius,N/A,N/A,N/A,N/A,N/A,With her husband in Mauritius in early century; government work and French and English society; Creoles; missionaries; domestic and social life and anecdotes; good.,government worker,N/A,N/A,N/A,Mauritius
SARTRUM,Catherine Mary,N/A,N/A,N/A,N/A,A Widow's Reminiscences,1858,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experiences of a doctor's wife at siege of Lucknow; her hardships and dangers; the loss of her husband in the siege.,doctor's wife,N/A,N/A,N/A,Lucknow
BARTTELOT,Captain Edmund Musgrave,N/A,N/A,N/A,N/A,"Military journal, 1687-88",1890,N/A,N/A,N/A,N/A,N/A,N/A,W. L. Barttelot,N/A,N/A,commander of the rear column with the Qnin Pasha relief expedition.,military commander,N/A,N/A,N/A,N/A
BARWICK,T.,N/A,N/A,N/A,N/A,To India: Under Anns: Through the Jungle: Last of the Seven: Memories,N/A,N/A,N/A,N/A,Barnstaple,N/A,N/A,N/A,N/A,N/A,"Pamphlets by a Barnstaple man on his army experiences, 1883-90; Ireland, India; in the ranks. Bound in one volume in library of North Devon Athenaeum, Barnstaple.",soldier,N/A,N/A,N/A,Barnstaple
BELL,Charles Dent,N/A,N/A,N/A,N/A,Reminiscences,1889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ulster boyhood; poet's reminiscences of boyhood in Ireland; folklore; Scottish school; friends.,N/A,N/A,N/A,N/A,N/A
BELL,Edward Albert,N/A,N/A,N/A,N/A,These Meddlesome Attorneys,1939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Solicitor's life and memories; courts, Judges & lawyers; a lively collection of stories.",Solicitor,N/A,N/A,N/A,N/A
BELL,Evelyn,N/A,N/A,N/A,N/A,So Kind to Youth,193$,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BELL,Vicars W.,N/A,N/A,N/A,N/A,The Dodo,1950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,His own schooldays and his work as village schoolmaster; his creed as a teacher; hostility to modern education; & love of the country.,Schoolmaster,N/A,N/A,N/A,N/A
BELLAMY,George Anne,N/A,N/A,N/A,N/A,An Apology for the Life,1785,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Theatrical career and amours of Covent-Garden actress; high society; sufferings from deluding men; splendors and miseries.,Actress,N/A,N/A,N/A,N/A
EELLETT,Rev. George,N/A,N/A,N/A,N/A,Memoir,1889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Irish boyhood; training for ministry; work at Bridgenorth and Whitborne; religious, family, social life.",Minister,N/A,N/A,N/A,N/A
BELLEW,Capt. Francis John,N/A,N/A,N/A,N/A,Memoirs of a Griffin,1843,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Life of a cadet; Indian social life and travel; partly fiction.,Cadet,N/A,N/A,N/A,N/A
BELLINGHAM,William,N/A,N/A,N/A,N/A,Diary,1884-87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Laborer with the University Mission at Lake Nyassa; transporting stores; his work and personal life; unusual detail of mission work; very good. The Diary of a Working Man.,Laborer,N/A,N/A,N/A,N/A
BIAED,Henri Charles,N/A,N/A,N/A,N/A,Wings. Experiences as test pilot in Supermarine aircraft; Schneider Cup & races.,1934,N/A,N/A,N/A,N/A,286pp,N/A,N/A,N/A,N/A,N/A,test pilot,N/A,N/A,N/A,N/A
BICKERSTAFF-DREW,Francis Browning Drew,N/A,N/A,N/A,N/A,Pages from the Past. Boyhood in Wales; social life; public events; London society; his career in writing.,1922,N/A,N/A,N/A,N/A,287pp,N/A,N/A,N/A,N/A,N/A,writer,N/A,N/A,N/A,N/A
BICKF0RD,Rev. James,N/A,N/A,N/A,N/A,"An Autobiography. Devon boyhood in the 20's and career as missionary in Demarara, West Indies, Australia, 1838 to 1888; travels, preaching, reading.",1890,N/A,N/A,N/A,N/A,288pp,N/A,N/A,N/A,N/A,N/A,missionary,N/A,N/A,N/A,N/A
BIDDLECQMBE,Sir George,N/A,N/A,N/A,N/A,"Autobiography. His naval career from boyhood; convict ship; cruises; capture of St.Jean d'Acre; part in Baltic campaign 1854; sights, curiosities.",1878,N/A,N/A,N/A,N/A,289pp,N/A,N/A,N/A,N/A,N/A,naval officer,N/A,N/A,N/A,N/A
BIGG-WITHER,Thomas P.,N/A,N/A,N/A,N/A,Pioneering in South Brazil. Mining engineer's travels in Parana in 70's; colonists; natural history; hunting.,1878,N/A,N/A,N/A,N/A,290pp,N/A,N/A,N/A,N/A,N/A,mining engineer,N/A,N/A,N/A,N/A
BLUNT,Wilfred Scawen,N/A,N/A,N/A,N/A,"Travel diary, 1883-84; in India during Ripon's viceroyalty; travels; political and social conditions; good. India Under Ripon",1909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLTTON,William Joseph,N/A,N/A,N/A,N/A,Landfalls,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Newspaper editor; farmer; and traveller; politics, literature, and country life; mental development; his meetings with famous men.","Newspaper editor, farmer, traveller",N/A,N/A,N/A,N/A
BOARDMAN,William H.,N/A,N/A,N/A,N/A,Vaudeville Days,1935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Orphan; Lanes; boy in circus; musician; manager of music-hall; reminiscences of the great days of variety and the great performers.,"Orphan, boy in circus, musician, manager of music-hall",N/A,N/A,N/A,N/A
BOASE,Mabel M.,N/A,N/A,N/A,N/A,Happy Potterer,1928,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Childhood on east coast of Scotland in 70's and 80's; country life in Fife; pleasant and mild.,N/A,N/A,N/A,N/A,N/A
BOLTON,Glorney,Sybil,N/A,N/A,N/A,Two Lives Converge,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dual autobiography; his work at Bodleian; Oxford life; and journalism in Yorkshire; her education at convent in Holland; childhood in W. Riding; anglo-catholicism; journalism; public affairs.,N/A,N/A,N/A,N/A,N/A
BODDY,Alexander Alfred,N/A,N/A,N/A,N/A,From the Egyptian Ramleh,1900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His travel and social life in the Delta, Lower Egypt and Alexandria in the 90's.",N/A,N/A,N/A,N/A,N/A
BOLTON,John,N/A,N/A,N/A,N/A,Personal Narrative,"Ulverston, 1871",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Residence in Barnsley 1818-42; industrial & labour troubles; Chartism; Jacquard loom.,N/A,N/A,N/A,N/A,N/A
BODKIN,Matthias M'Donnell,N/A,N/A,N/A,N/A,Recollections,1914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Life and work of an Irish lawyer, judge, journalist; Parliamentary and public affairs.","Lawyer, judge, journalist",N/A,N/A,N/A,N/A
BODKIN,Thomas,N/A,N/A,N/A,N/A,My Uncle Frank,1941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood at uncle's farm in Ireland; a boy's life and amusements.,N/A,N/A,N/A,N/A,N/A
BOND,Jessie,N/A,N/A,N/A,N/A,Life and Reminiscences,1930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cockney childhood; choir work in Liverpool; musical training; singing; her career in Gilbert and Sullivan operas.,N/A,N/A,N/A,N/A,N/A
BODLEY,Col. Ronald Victor,N/A,N/A,N/A,N/A,Courtesy Indiscretions,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Eton and Sandhurst; WWI service; Lawrence; Paris embassy and Peace Conferences; service with Algerians; life as nomad, shepherd in Sahara; mystic and his quest for peace of mind in Java and East.",N/A,N/A,N/A,N/A,N/A
BODLEY,Sir Thomas,N/A,N/A,N/A,N/A,The Life,1647,1913,N/A,N/A,Oxford,N/A,N/A,N/A,N/A,N/A,Family exiled by Catholicism; return under Elizabeth; ambassador; rivalry of Burleigh and Essex; retirement and setting up library for Oxford students; brief and dry.,N/A,N/A,N/A,N/A,N/A
BOGER,Alnod John,N/A,N/A,N/A,N/A,Road I Travelled,1936,N/A,N/A,Bristol,N/A,N/A,N/A,N/A,N/A,N/A,"Winchester, Oxford; legal studies; climbing and big-game hunting in India, Far East, Uganda, & Norway, etc.",N/A,N/A,N/A,N/A,N/A
BOGGIS,Robert James Edmund,N/A,N/A,N/A,N/A,I Remember,1947,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clerical work and social life in Exeter.,N/A,N/A,N/A,N/A,N/A
BOGLE,J. Linton,N/A,N/A,N/A,N/A,More Meanderines,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Doctor's trips in England and on continent.,N/A,N/A,N/A,N/A,N/A
BOYI£,Mary Louisa,N/A,N/A,N/A,N/A,Mary Boyle-Her Book,1901,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Court and country house society; literature and arts; Hampton Court; Dickens, Tennyson, Browning, & Lowell, etc.",N/A,N/A,N/A,N/A,N/A
BRADLEY,Eliza,N/A,N/A,N/A,N/A,An Authentic Narrative,1821,N/A,N/A,Liverpool,N/A,N/A,N/A,N/A,N/A,N/A,"Liverpool woman; shipwrecked, captured by Arabs, 1818; her sufferings.",N/A,N/A,N/A,N/A,N/A
BOTS,Capt. Edward,N/A,N/A,N/A,N/A,Narrative of a Captivity,1827,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Naval service in the Napoleonic wars; capture; prisoner in France; escape; 1803-9.,N/A,N/A,N/A,N/A,N/A
BRABROOK,Sir Edward,N/A,N/A,N/A,N/A,Some Notes,1932,N/A,N/A,N/A,London,N/A,N/A,N/A,N/A,N/A,London; career as actuary; insurance work; antiquarianism and anthropology; public work; Methodism; a busy and varied life.,actuary,N/A,N/A,N/A,N/A
BRADDOCK,Joseph E.,N/A,N/A,N/A,N/A,Bright Ghost,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood in Lancashire & London before WW1; simple & graphic account; slightly fictional.,N/A,N/A,N/A,N/A,N/A
BROOKE,Charles A. J.,N/A,N/A,N/A,N/A,Ten Years in Sarawak,1866,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Naval career, 1852 to 1862; suppression of pirates; policing and administration in Sarawak; life of Dyaks; Empire building; life as white chief; good; mainly diary.",Engineer,N/A,N/A,N/A,N/A
BROOKE,Gen. Geoffrey F. H.,N/A,N/A,N/A,N/A,Brotherhood of Arms,1941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Military career; experiences in WW1; the life, and its heroisms and humours; social.",Military,N/A,N/A,N/A,N/A
BROOKE,Sir James,N/A,N/A,N/A,N/A,Narrative of Events in Borneo and Celebes,1848,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Diaries, 1839-46, at Singapore & Sarawak; occupation and rule of Sarawak & expeditions against pirates; natives; local customs; exploration; Journals of Rodney Mundy included.","Explorer, Administrator",N/A,N/A,N/A,N/A
BROOKE,Joceljm,N/A,N/A,N/A,N/A,The Military Orchid,1948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kent childhood; Bedales school and early interest in botany; his war service in Africa and Sicily in a V.D. unit; botany and war; amusing.,"Botanist, Military",N/A,N/A,N/A,N/A
