author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
Aakus,Eivind P.,N/A,N/A,N/A,N/A,Minne,1932,N/A,N/A,Johanssen &r Tangens,Kristiansand,112 p,N/A,N/A,N/A,N/A,Minnesota violinist.,N/A,1854,N/A,N/A,N/A
Abbot,Willis John,N/A,N/A,N/A,N/A,Watching the world go by,1934,N/A,N/A,"Little,Brown",Boston,358 p,N/A,N/A,N/A,N/A,Reporter in Chicago and N.Y.,N/A,1863,1934,N/A,N/A
Abbott,Augustus,N/A,N/A,N/A,N/A,A boy pioneer,N/A,N/A,N/A,N/A,N/A,128 p,N/A,N/A,N/A,N/A,Story of youth in California about 1850.,N/A,N/A,N/A,N/A,N/A
Abbott,Carlisle Stewart,N/A,N/A,N/A,N/A,Recollections of a California pioneer,1917,N/A,N/A,Neale,N.Y.,235 p,N/A,N/A,N/A,N/A,"Railroad promoter, politician, California 'forty-niner'.",N/A,1828,N/A,N/A,N/A
Abbott,Edward Charles,N/A,N/A,N/A,N/A,We pointed them north; recollections of a cow-puncher,1939,N/A,N/A,Farrar & Rinehart,N.Y.,270 p,N/A,N/A,N/A,N/A,Montana.,N/A,I860,N/A,N/A,N/A
Abbott,Eleanor Hallowell,N/A,N/A,N/A,N/A,Being little in Cambridge,1936,N/A,N/A,D. Appleton-Century,N.Y.,280 p,N/A,N/A,N/A,N/A,In the days of Lowell.,N/A,1872,N/A,N/A,N/A
Abbott,Mrs. Eloise Mills,N/A,N/A,N/A,N/A,Personal sketches and recollections,1861,N/A,N/A,Abel Tompkins,Boston,359 p,N/A,N/A,N/A,N/A,Bookseller and teacher.,N/A,N/A,N/A,N/A,N/A
Abbott,Emma,N/A,N/A,N/A,N/A,The life and professional career of Emma Abbott,189L,N/A,N/A,L. Kimball printing co.,Minneapolis,192 p,N/A,N/A,N/A,N/A,Chicago born opera singer. A significant portion of this book is autobiographical.,N/A,1850,N/A,N/A,N/A
Abbott,L.A.,N/A,N/A,N/A,N/A,Seven wives and seven prisons,1870,N/A,N/A,Pub. for author,N.Y.,205 p,N/A,N/A,N/A,N/A,Matrimonial troubles in New York.,N/A,1813,N/A,N/A,N/A
Abbott,Lyman,N/A,N/A,N/A,N/A,Reminiscences,1915,N/A,N/A,Houghton Mifflin,Boston & N.Y.,509 p,N/A,N/A,N/A,N/A,Congregational clergyman and writer on religious subjects (New York City). Editor of Outlook.,N/A,1835,1922,N/A,N/A
Abbott,Othman A.,N/A,N/A,N/A,N/A,Recollections of a pioneer lawyer,1929,N/A,N/A,Nebraska state historical society,Lincoln,176 p,N/A,N/A,N/A,N/A,"Lawyer, lt. gov. Nebraska. Union army soldier.",N/A,1842,N/A,N/A,N/A
Abdullah,Achmed,N/A,N/A,N/A,N/A,The cat had nine lives,1933,N/A,N/A,Farrar & Rinehart,N.Y.,312 p,N/A,N/A,N/A,N/A,Crimean born novelist who spent a number of years in this country.,N/A,1881,1945,N/A,N/A
Abernathy,John R.,N/A,N/A,N/A,N/A,“Catch ’em alive Jack;” the life and adventures of an American pioneer,1936,N/A,N/A,Association press,N.Y.,224 p,N/A,N/A,N/A,N/A,"A reissue, with variations, of his, In camp with Theodore Roosevelt, 1933. Cowboy in Texas and Oklahoma. Wolf hunter, U.S. marshal in Oklahoma, and oil operator.",N/A,1876,N/A,N/A,N/A
Abernathy,John R.,N/A,N/A,N/A,N/A,A son of the frontier,1935,N/A,N/A,News press,Croton-on-Hudson,57 p,N/A,N/A,N/A,N/A,In Texas and Oklahoma.,N/A,1876,N/A,N/A,N/A
Abrey,Daniel,N/A,N/A,N/A,N/A,Reminiscences,1903,N/A,N/A,Sheardy,"Corunna, Mich.",195 p,N/A,N/A,N/A,N/A,A lumberman in Michigan discusses his experiences during 1861 — 1901.,N/A,1841,N/A,N/A,N/A
Abt,Isaac Arthur,N/A,N/A,N/A,N/A,Baby doctor,1944,N/A,N/A,McGraw-Hill,N.Y.,310 p,N/A,N/A,N/A,N/A,In Chicago.,N/A,1867,N/A,N/A,N/A
Acheson,Edward Goodrich,N/A,N/A,N/A,N/A,"A pathfinder: discovery, invention and industry; how the world came to have aquadag and oildag; also, carborundum, artificial graphite and other valuable products of the electric furnace",1910,N/A,N/A,The Press scrapbook,N.Y.,143 p,N/A,N/A,N/A,N/A,"In effect an autobiography of Dr. Acheson, with brief account of his discoveries and business career.",N/A,1856,1931,N/A,N/A
Ackley,Mrs. Mary E.,N/A,N/A,N/A,N/A,Crossing the plains,1928,N/A,N/A,N/A,San Francisco,68 p,N/A,N/A,N/A,N/A,Memories of girlhood days in California’s golden age.,N/A,1842,N/A,N/A,N/A
Adair,Bethenia Angelina (Owens),N/A,N/A,N/A,N/A,Dr. Owens-Adair; some of her life experiences,1906?,N/A,N/A,"Mann Beach, printers","Portland, Oreg.",537 p,N/A,N/A,N/A,N/A,"Autobiography, p. 7-114. Pioneer woman physician in Oregon.",N/A,1840,1926,N/A,N/A
Adair,Ward William,N/A,N/A,N/A,N/A,The road to New York,1936,N/A,N/A,Association press,N.Y.,278 p,N/A,N/A,N/A,N/A,YMCA workers with railroad men.,N/A,1870,N/A,N/A,N/A
Adamic,Louis,N/A,N/A,N/A,N/A,Laughing in the jungle; the autobiography of an immigrant in America,1932,N/A,N/A,Harper & brothers,N.Y.,335 p,N/A,N/A,N/A,N/A,"Came to America from Yugoslavia in 1913 at age of fourteen. Early experiences here, life in the army and later in California. Active in labor movement. For his earlier life in Europe see, Cradle of Life (1936).",N/A,1899,N/A,N/A,N/A
Adams,Alfred P.,N/A,N/A,N/A,N/A,A review,N/A,N/A,N/A,N.D.,Detroit,29 p,N/A,N/A,N/A,N/A,"Laborer in Pa., Mich. Coal miner in W. Va. Real estate dealer, insurance salesman in Michigan.",N/A,1887,N/A,N/A,N/A
Adams,Charles Francis,N/A,N/A,N/A,N/A,"Charles Francis Adams, an autobiography",1916,N/A,N/A,Houghton Mifflin,Boston & N.Y.,224 p,N/A,N/A,N/A,N/A,"Historian, railroad executive, educator, expert; civic leader. New England.",N/A,1835,1915,N/A,N/A
Adams,Charles Francis,N/A,N/A,N/A,N/A,Forty years a fool,1914?,N/A,N/A,The Author,"Sonora, Texas",100 p,N/A,N/A,N/A,N/A,"Manager of wild west shows, salesman. Texas and California.",N/A,1857,N/A,N/A,N/A
Adams,Dorothy,N/A,N/A,N/A,N/A,We stood alone,1941,N/A,N/A,"Longmans, Green",N.Y.,284 p,N/A,N/A,N/A,N/A,"American in Poland, 1925-39.",N/A,N/A,N/A,N/A,N/A
Adams,Eliashib,N/A,N/A,N/A,N/A,A successful life,1871,N/A,N/A,Printed by Benjamin A. Burr,Bangor,"109, 23 p",N/A,N/A,N/A,N/A,The religious aspects of the life of a businessman in Maine.,N/A,1733,1855,N/A,N/A
Adams,Elizabeth Laura,N/A,N/A,N/A,N/A,Dark symphony,1942,N/A,N/A,Sheed & Ward,N.Y.,194 p,N/A,N/A,N/A,N/A,The account of a colored girl’s childhood in California and her struggles against prejudice.,N/A,N/A,N/A,N/A,N/A
Adams,Francis Colburn,N/A,N/A,N/A,N/A,Story of a trooper with much of interest concerning the campaign on the Peninsula,1865,N/A,N/A,Dick & Fitzgerald,N.Y.,616 p,N/A,N/A,N/A,N/A,In the Union army.,N/A,N/A,N/A,N/A,N/A
Adams,Hannah,N/A,N/A,N/A,N/A,"A memoir of Miss Hannah Adams, written by herself",1832,N/A,N/A,Gray & Bowen,Boston,110 p,N/A,N/A,N/A,N/A,New England historian.,N/A,1755,1831,N/A,N/A
Adams,Henry,N/A,N/A,N/A,N/A,The education of Henry Adams,1918,N/A,N/A,Houghton Mifflin,Boston & N.Y.,519 p,N/A,N/A,N/A,N/A,"Historian, social and political commentator.",N/A,1838,1918,N/A,N/A
Adams,Isaac,N/A,N/A,N/A,N/A,"Darkness and daybreak. Personal experiences, manners, customs in Persia",1898,N/A,N/A,Dickinson,Grand Rapids,229 p,N/A,N/A,N/A,N/A,American experiences of a Persian-born student who returned to his country as a Baptist preacher.,N/A,1872,N/A,N/A,N/A
Adams,Israel,N/A,N/A,N/A,N/A,"A narrative of the life, travels and adventures of Capt. Israel Adams",1847,N/A,N/A,Printed by D. Bennett,Utica,36 p,N/A,N/A,N/A,N/A,"A New York man tells of his life as a sailor, and of his experiences in the War of 1812.",N/A,1776,N/A,N/A,N/A
Adams,James Capen,N/A,N/A,N/A,N/A,"The adventures of James Capen Adams, mountaineer and Grizzly bear hunter, of California",I860,N/A,N/A,Towne & Bacon,San Francisco,378 p,N/A,N/A,N/A,N/A,Dictated by Adams.,N/A,1807,N/A,N/A,N/A
Adams,James Capen,N/A,N/A,N/A,N/A,The Life of J.C.Adams,1860,N/A,N/A,"Printed by Wynkoop, Hallenbeck Thomas",N.Y.,53 p,N/A,N/A,N/A,N/A,Hunter in the Rocky Mountains.,N/A,1807,N/A,N/A,N/A
Adams,John,N/A,N/A,N/A,N/A,"Life of 'Reformation' John Adams, an Episcopal elder of the Methodist Episcopal Church",1853,N/A,N/A,Rand,Boston,2 vols.,N/A,N/A,N/A,N/A,In New England.,N/A,N/A,N/A,N/A,N/A
Adams,John,N/A,N/A,N/A,N/A,The works of John Adams,N/A,N/A,N/A,C.C. Little & James Brown,Boston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1735,1826,N/A,N/A
Aakus,Eivind P.,N/A,N/A,N/A,N/A,Minne,1932,N/A,N/A,Johanssen & Tangens,Kristiansand,112 p,N/A,N/A,N/A,N/A,Minnesota violinist.,N/A,1854,N/A,N/A,N/A
Abbot,Willis John,N/A,N/A,N/A,N/A,Watching the world go by,1934,N/A,N/A,"Little, Brown",Boston,358 p,N/A,N/A,N/A,N/A,Reporter in Chicago and N.Y.,N/A,1863,1934,N/A,N/A
Abbott,Augustus,N/A,N/A,N/A,N/A,A boy pioneer,N/A,N/A,N/A,No imprint,N/A,128 p,N/A,N/A,N/A,N/A,Story of youth in California about 1850.,N/A,N/A,N/A,N/A,N/A
Abbott,Carlisle Stewart,N/A,N/A,N/A,N/A,Recollections of a California pioneer,1917,N/A,N/A,Neale,N.Y.,235 p,N/A,N/A,N/A,N/A,"Railroad promoter, politician, California 'forty-niner'.",N/A,1828,N/A,N/A,N/A
Abbott,Edward Charles,N/A,N/A,N/A,N/A,We pointed them north; recollections of a cow-puncher,1939,N/A,N/A,Farrar & Rinehart,N.Y.,270 p,N/A,N/A,N/A,N/A,Montana.,N/A,I860,N/A,N/A,N/A
Abbott,Eleanor Hallowell,N/A,N/A,N/A,N/A,Being little in Cambridge,1936,N/A,N/A,D. Appleton-Century,N.Y.,280 p,N/A,N/A,N/A,N/A,In the days of Lowell.,N/A,1872,N/A,N/A,N/A
Abbott,Mrs. Eloise Mills,N/A,N/A,N/A,N/A,Personal sketches and recollections,1861,N/A,N/A,Abel Tompkins,Boston,359 p,N/A,N/A,N/A,N/A,Bookseller and teacher.,N/A,N/A,N/A,N/A,N/A
Abbott,Emma,N/A,N/A,N/A,N/A,The life and professional career of Emma Abbott. By Sadie E. Martin,189L,N/A,N/A,L. Kimball printing co.,Minneapolis,192 p,N/A,N/A,N/A,N/A,Chicago born opera singer. A significant portion of this book is autobiographical.,N/A,1850,N/A,N/A,N/A
Abbott,L.A.,N/A,N/A,N/A,N/A,Seven wives and seven prisons,1870,N/A,N/A,Pub. for author,N.Y.,205 p,N/A,N/A,N/A,N/A,Matrimonial troubles in New York.,N/A,1813,N/A,N/A,N/A
Abbott,Lyman,N/A,N/A,N/A,N/A,Reminiscences,1915,N/A,N/A,Houghton Mifflin,Boston & N.Y.,509 p,N/A,N/A,N/A,N/A,Congregational clergyman and writer on religious subjects (New York City). Editor of Outlook.,N/A,1835,1922,N/A,N/A
Abbott,Othman A.,N/A,N/A,N/A,N/A,Recollections of a pioneer lawyer,1929,N/A,N/A,Nebraska state historical society,Lincoln,176 p,N/A,N/A,N/A,N/A,"Lawyer, It. gov. Nebraska. Union army soldier.",N/A,1842,N/A,N/A,N/A
Abdullah,Achmed,N/A,N/A,N/A,N/A,The cat had nine lives,1933,N/A,N/A,Farrar & Rinehart,N.Y.,312 p,N/A,N/A,N/A,N/A,Crimean born novelist who spent a number of years in this country.,N/A,1881,1945,N/A,N/A
Abernathy,John R.,N/A,N/A,N/A,N/A,Catch ’em alive Jack; the life and adventures of an American pioneer,1936,N/A,N/A,Association press,N.Y.,224 p,N/A,N/A,N/A,N/A,"A reissue, with variations, of his, In camp with Theodore Roosevelt, 1933. Cowboy in Texas and Oklahoma. Wolf hunter, U.S. marshal in Oklahoma, and oil operator.",N/A,1876,N/A,N/A,N/A
Abernathy,John R.,N/A,N/A,N/A,N/A,A son of the frontier,1935,N/A,N/A,News press,Croton-on-Hudson,57 p,N/A,N/A,N/A,N/A,In Texas and Oklahoma.,N/A,1876,N/A,N/A,N/A
Abrey,Daniel,N/A,N/A,N/A,N/A,Reminiscences,1903,N/A,N/A,Sheardy,"Corunna, Mich.",195 p,N/A,N/A,N/A,N/A,A lumberman in Michigan discusses his experiences during 1861 — 1901.,N/A,1841,N/A,N/A,N/A
Abt,Isaac Arthur,N/A,N/A,N/A,N/A,Baby doctor,1944,N/A,N/A,McGraw-Hill,N.Y.,310 p,N/A,N/A,N/A,N/A,In Chicago.,N/A,1867,N/A,N/A,N/A
Acheson,Edward Goodrich,N/A,N/A,N/A,N/A,"A pathfinder: discovery, invention and industry; how the world came to have aquadag and oildag; also, carborundum, artificial graphite and other valuable products of the electric furnace.",1910,N/A,N/A,The Press scrapbook,N.Y.,143 p,N/A,N/A,N/A,N/A,"In effect an autobiography of Dr. Acheson, with brief account of his discoveries and business career.",N/A,1856,1931,N/A,N/A
Ackley,Mrs. Mary E.,N/A,N/A,N/A,N/A,Crossing the plains; Memories of girlhood days in California’s golden age,1928,N/A,N/A,N/A,San Francisco,68 p,N/A,N/A,N/A,N/A,Story of married life in pioneer California.,N/A,1842,N/A,N/A,N/A
Adair,Bethenia Angelina (Owens),N/A,N/A,N/A,N/A,Dr. Owens-Adair; some of her life experiences,1906?,N/A,N/A,"Mann Beach, printers","Portland, Oreg.",537 p,N/A,N/A,N/A,N/A,"Autobiography, p. 7-114. Pioneer woman physician in Oregon.",N/A,1840,1926,N/A,N/A
Adair,Ward William,N/A,N/A,N/A,N/A,The road to New York,1936,N/A,N/A,Association press,N.Y.,278 p,N/A,N/A,N/A,N/A,YMCA workers with railroad men.,N/A,1870,N/A,N/A,N/A
Adamic,Louis,N/A,N/A,N/A,N/A,Laughing in the jungle; the autobiography of an immigrant in America,1932,N/A,N/A,Harper & brothers,N.Y.,335 p,N/A,N/A,N/A,N/A,"Came to America from Yugoslavia in 1913 at age of fourteen. Early experiences here, life in the army and later in California. Active in labor movement. For his earlier life in Europe see, Cradle of Life (1936).",N/A,1899,N/A,N/A,N/A
Adams,Alfred P.,N/A,N/A,N/A,N/A,A review,N/A,N/A,N/A,N.D.,Detroit,29 p,N/A,N/A,N/A,N/A,"Laborer in Pa., Mich. Coal miner in W. Va. Real estate dealer, insurance salesman in Michigan.",N/A,1887,N/A,N/A,N/A
Adams,Charles Francis,N/A,N/A,N/A,N/A,"Charles Francis Adams, an autobiography",1916,N/A,N/A,Houghton Mifflin,Boston & N.Y.,224 p,N/A,N/A,N/A,N/A,"Historian, railroad executive, educator, expert; civic leader. New England.",N/A,1835,1915,N/A,N/A
Adams,Charles Francis,N/A,N/A,N/A,N/A,Forty years a fool,1914?,N/A,N/A,The Author,"Sonora, Texas",100 p,N/A,N/A,N/A,N/A,"Manager of wild west shows, salesman. Texas and California.",N/A,1857,N/A,N/A,N/A
Adams,Dorothy,N/A,N/A,N/A,N/A,We stood alone,1941,N/A,N/A,"Longmans, Green",N.Y.,284 p,N/A,N/A,N/A,N/A,"American in Poland, 1925-39.",N/A,N/A,N/A,N/A,N/A
Adams,Eliashib,N/A,N/A,N/A,N/A,A successful life,1871,N/A,N/A,Printed by Benjamin A. Burr,Bangor,"109, 23 p",N/A,N/A,N/A,N/A,The religious aspects of the life of a businessman in Maine.,N/A,1733,1855,N/A,N/A
Adams,Elizabeth Laura,N/A,N/A,N/A,N/A,Dark symphony,1942,N/A,N/A,Sheed & Ward,N.Y.,194 p,N/A,N/A,N/A,N/A,The account of a colored girl’s childhood in California and her struggles against prejudice.,N/A,N/A,N/A,N/A,N/A
Adams,Francis Colburn,N/A,N/A,N/A,N/A,Story of a trooper with much of interest concerning the campaign on the Peninsula,1865,N/A,N/A,Dick & Fitzgerald,N.Y.,616 p,N/A,N/A,N/A,N/A,In the Union army.,N/A,N/A,N/A,N/A,N/A
Adams,Hannah,N/A,N/A,N/A,N/A,"A memoir of Miss Hannah Adams, written by herself",1832,N/A,N/A,Gray & Bowen,Boston,110 p,N/A,N/A,N/A,N/A,New England historian.,N/A,1755,1831,N/A,N/A
Adams,Henry,N/A,N/A,N/A,N/A,The education of Henry Adams,1918,N/A,N/A,Houghton Mifflin,Boston & N.Y.,519 p,N/A,N/A,N/A,N/A,"Historian, social and political commentator.",N/A,1838,1918,N/A,N/A
Adams,Isaac,N/A,N/A,N/A,N/A,"Darkness and daybreak. Personal experiences, manners, customs in Persia",1898,N/A,N/A,Dickinson,Grand Rapids,229 p,N/A,N/A,N/A,N/A,American experiences of a Persian-born student who returned to his country as a Baptist preacher.,N/A,1872,N/A,N/A,N/A
Adams,Israel,N/A,N/A,N/A,N/A,"A narrative of the life, travels and adventures of Capt. Israel Adams",1847,N/A,N/A,Printed by D. Bennett,Utica,36 p,N/A,N/A,N/A,N/A,"A New York man tells of his life as a sailor, and of his experiences in the War of 1812.",N/A,1776,N/A,N/A,N/A
Adams,James Capen,N/A,N/A,N/A,N/A,"The adventures of James Capen Adams, mountaineer and Grizzly bear hunter, of California. By Theodore H. Hittell",1860,N/A,N/A,Towne & Bacon,San Francisco,378 p,N/A,N/A,N/A,N/A,Dictated by Adams.,N/A,1807,N/A,N/A,N/A
Adams,James Capen,N/A,N/A,N/A,N/A,The Life of J.C.Adams,1860,N/A,N/A,"Printed by Wynkoop, Hallenbeck Thomas",N.Y.,53 p,N/A,N/A,N/A,N/A,Hunter in the Rocky Mountains.,N/A,1807,N/A,N/A,N/A
Adams,John,N/A,N/A,N/A,N/A,"Life of 'Reformation' John Adams, an Episcopal elder of the Methodist Episcopal Church",1853,N/A,N/A,Rand,Boston,2 vols.,N/A,N/A,N/A,N/A,In New England.,N/A,1735,1826,N/A,N/A
Adams,John,N/A,N/A,N/A,N/A,The works of John Adams,N/A,N/A,N/A,C.C. Little & James Brown,Boston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Abbot,Willis John,N/A,N/A,N/A,N/A,Watching the world go by,1934,N/A,N/A,"Little,Brown",Boston,358 p,N/A,N/A,N/A,N/A,Reporter in Chicago and N.Y.,N/A,1863,1934,N/A,N/A
Abbott,Augustus,N/A,N/A,N/A,N/A,A boy pioneer,N/A,N/A,N/A,N/A,N/A,128 p,N/A,N/A,N/A,N/A,Story of youth in California about 1850.,N/A,N/A,N/A,N/A,N/A
Abbott,Carlisle Stewart,N/A,N/A,N/A,N/A,Recollections of a California pioneer,1917,N/A,N/A,Neale,N.Y.,235 p,N/A,N/A,N/A,N/A,"Railroad promoter, politician, California “forty-niner"".",N/A,1828,N/A,N/A,N/A
Abbott,Edward Charles,N/A,N/A,N/A,N/A,We pointed them north; recollections of a cow-puncher,1939,N/A,N/A,Farrar & Rinehart,N.Y.,270 p,N/A,N/A,N/A,N/A,Montana.,N/A,I860,N/A,N/A,N/A
Abbott,Eleanor Hallowell,N/A,N/A,N/A,N/A,Being little in Cambridge,1936,N/A,N/A,D. Appleton-Century,N.Y.,280 p,N/A,N/A,N/A,N/A,In the days of Lowell.,N/A,1872,N/A,N/A,N/A
Abbott,Mrs. Eloise Mills,N/A,N/A,N/A,N/A,Personal sketches and recollections,1861,N/A,N/A,Abel Tompkins,Boston,359 p,N/A,N/A,N/A,N/A,Bookseller and teacher.,N/A,N/A,N/A,N/A,N/A
Abbott,Emma,N/A,N/A,N/A,N/A,The life and professional career of Emma Abbott. By Sadie E. Martin,189L,N/A,N/A,L. Kimball printing co.,Minneapolis,192 p,N/A,N/A,N/A,N/A,Chicago born opera singer. A significant portion of this book is autobiographical.,N/A,1850,N/A,N/A,N/A
Abbott,L.A.,N/A,N/A,N/A,N/A,Seven wives and seven prisons,1870,N/A,N/A,Pub. for author,N.Y.,205 p,N/A,N/A,N/A,N/A,Matri- monial troubles in New York.,N/A,1813,N/A,N/A,N/A
Abbott,Lyman,N/A,N/A,N/A,N/A,Reminiscences,1915,N/A,N/A,Houghton Mifflin,Boston & N.Y.,509 p,N/A,N/A,N/A,N/A,Congregational clergyman and writer on religious subjects (New York City). Editor of Outlook.,N/A,1835,1922,N/A,N/A
Abbott,Othman A.,N/A,N/A,N/A,N/A,Recollections of a pioneer lawyer,1929,N/A,N/A,Nebraska state historical society,Lincoln,176 p,N/A,N/A,N/A,N/A,"Lawyer, It. gov. Nebraska. Union army soldier.",N/A,1842,N/A,N/A,N/A
Abdullah,Achmed,N/A,N/A,N/A,N/A,The cat had nine lives,1933,N/A,N/A,Farrar & Rinehart,N.Y.,312 p,N/A,N/A,N/A,N/A,Crimean born novelist who spent a number of years in this country.,N/A,1881,1945,N/A,N/A
Abernathy,John R.,N/A,N/A,N/A,N/A,Catch ’em alive Jack; the life and adventures of an American pioneer,1936,N/A,N/A,Association press,N.Y.,224 p,N/A,N/A,N/A,N/A,"A reissue, with variations , of his, In camp with Theodore Roosevelt, 1933. Cowboy in Texas and Oklahoma. Wolf hunter, U.S. marshal in Oklahoma, and oil operator.",N/A,1876,N/A,N/A,N/A
Abernathy,John R.,N/A,N/A,N/A,N/A,A son of the frontier,1935,N/A,N/A,News press,Croton-on-Hudson,57 p,N/A,N/A,N/A,N/A,In Texas and Oklahoma.,N/A,1876,N/A,N/A,N/A
Abrey,Daniel,N/A,N/A,N/A,N/A,Reminiscences,1903,N/A,N/A,Sheardy,"Corunna, Mich.",195 p,N/A,N/A,N/A,N/A,A lumberman in Michigan discusses his experiences during 1861—1901.,N/A,1841,N/A,N/A,N/A
Abt,Isaac Arthur,N/A,N/A,N/A,N/A,Baby doctor,1944,N/A,N/A,McGraw-Hill,N.Y.,310 p,N/A,N/A,N/A,N/A,In Chicago.,N/A,1867,N/A,N/A,N/A
Acheson,Edward Goodrich,N/A,N/A,N/A,N/A,"A pathfinder: discovery, invention and industry; how the world came to have aquadag and oildag",1910,N/A,N/A,The Press scrapbook,N.Y.,143 p,N/A,N/A,N/A,N/A,"In effect an autobiography of Dr. Acheson, with brief account of his discoveries and business career.",N/A,1856,1931,N/A,N/A
Ackley,Mrs. Mary E.,N/A,N/A,N/A,N/A,Crossing the plains; Memories of girlhood days in California’s golden age,1928,N/A,N/A,N/A,San Francisco,68 p,N/A,N/A,N/A,N/A,Story of married life in pioneer California.,N/A,1842,N/A,N/A,N/A
Adair,Bethenia Angelina (Owens),N/A,N/A,N/A,N/A,Dr. Owens-Adair; some of her life experiences,1906?,N/A,N/A,"Mann Beach, printers","Portland, Oreg.",537 p,N/A,N/A,N/A,N/A,"Autobiography, p. 7-114. Pioneer woman physician in Oregon.",N/A,1840,1926,N/A,N/A
Adair,Ward William,N/A,N/A,N/A,N/A,The road to New York,1936,N/A,N/A,Association press,N.Y.,278 p,N/A,N/A,N/A,N/A,YMCA workers with railroad men.,N/A,1870,N/A,N/A,N/A
Adamic,Louis,N/A,N/A,N/A,N/A,Laughing in the jungle; the autobiography of an immigrant in America,1932,N/A,N/A,Harper & brothers,N.Y.,335 p,N/A,N/A,N/A,N/A,"Came to America from Yugoslavia in 1913 at age of fourteen. Early experiences here, life in the army and later in California. Active in labor movement. For his earlier life in Europe see, Cradle of Life (1936).",N/A,1899,N/A,N/A,N/A
Adams,Alfred P.,N/A,N/A,N/A,N/A,A review,N/A,N/A,N/A,N.D.,Detroit,29 p,N/A,N/A,N/A,N/A,"Laborer in Pa., Mich. Coal miner in W. Va. Real estate dealer, insurance salesman in Michigan.",N/A,1887,N/A,N/A,N/A
