author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
Acheson,Edward Goodrich,N/A,N/A,N/A,N/A,"A pathfinder: inventor, scientist, industrialist",1910,1965,N/A,Acheson Industries,"Port Huron, Michigan",63 p,N/A,N/A,N/A,N/A,"Details his journey through hardship to create groundbreaking products, including carborundum and colloidal graphite lubricants.",N/A,1856,1931,N/A,N/A
Ackerman,Diane,N/A,N/A,N/A,N/A,Twilight of the tenderfoot: a western memoir,N/A,1980,N/A,"William Morrow and Co., Inc.",New York,222 p,N/A,N/A,N/A,N/A,A contemporary narrative of frontier life by an Eastern poet detailing her experiences on a large cattle ranch in New Mexico.,N/A,1948,N/A,N/A,N/A
Acosta,Mercedes de,N/A,N/A,N/A,N/A,Here lies the heart,N/A,1960,N/A,Reynal and Co.,New York,372 p,N/A,N/A,N/A,N/A,A thoughtful and exuberant account of her quest for a meaningful life as a writer.,N/A,1893,1967,N/A,N/A
Adair,Cornelia Wadsworth,N/A,N/A,Brown,Montagu K.,"My diary: August 30th to November 5th, 1874",N/A,1965,N/A,University of Texas Press,Austin,125 p,N/A,N/A,N/A,N/A,"Records her family's cross-country trip in 1874, detailing transportation and social life.",N/A,1838,1921,N/A,N/A
Adamic,Louis,N/A,N/A,N/A,N/A,Dinner at the White House,N/A,1946,N/A,Harper & Brothers,New York,276 p,N/A,N/A,N/A,N/A,Starts with a dinner at the White House in January 1942 and examines the relationship between Roosevelt and Churchill.,N/A,1899,1951,N/A,N/A
Adamic,Louis,N/A,N/A,N/A,N/A,My America: 1928-1938,1938,1976,N/A,Da Capo Press,New York,669 p,N/A,N/A,N/A,N/A,Combines personal history with a social and political history of the U.S. and interprets communist and socialist movements.,N/A,1899,1951,N/A,N/A
Adamic,Louis,N/A,N/A,N/A,N/A,The native's return; an American immigrant visits Yugoslavia and discovers his old country,N/A,1934,N/A,Harper & Brothers,New York,370 p,N/A,N/A,N/A,N/A,"After emigrating to America, he returns to Yugoslavia and reflects on its beauty and deteriorating political situation.",N/A,1889,1951,N/A,N/A
Adams,Abigail (Smith),N/A,N/A,Adams,Charles Francis,"Familiar letters of John Adams and his wife Abigail Adams, during the Revolution; with a memoir of Mrs. Adams",1876,1970,N/A,Books for Libraries Press,"Freeport, New York",424 p,N/A,N/A,N/A,N/A,Collection of letters that reveals the depth of feeling between the Adams during the Revolutionary struggle.,N/A,1744,1818,N/A,N/A
Adams,Abigail (Smith),N/A,N/A,Mitchell,Stewart,"New letters of Abigail Adams, 1788-1801",1947,1973,N/A,"Greenwood Press, Inc.","Westport, Connecticut",281 p,N/A,N/A,N/A,N/A,"Describes Abigail Adams' life between 1789 and 1801, focusing on her letters during John's Vice-Presidency and Presidency.",N/A,1744,1818,N/A,N/A
Adams,Charles Francis,N/A,N/A,Friedlaender,Marc,Diary of Charles Francis Adams,1964,1974,N/A,Belknap Press of Harvard University Press,Cambridge,N/A,N/A,N/A,N/A,N/A,Unpublished journal detailing the life of the grandson and son of presidents.,N/A,1807,1886,N/A,N/A
Adams,Henry,N/A,N/A,Samuels,Ernest,The education of Henry Adams,1918,1973,N/A,Houghton Mifflin,Boston,705 p,N/A,N/A,N/A,N/A,Analyzes his lifelong education and interprets American history from a personal and intellectual perspective.,N/A,1838,1918,N/A,N/A
Adams,Henry,N/A,N/A,Cater,Harold D.,Henry Adams and his friends; a collection of his unpublished letters,1947,1970,N/A,Octagon Books,New York,797 p,N/A,N/A,N/A,N/A,"Over 750 previously unpublished letters written to 100 different people, from 1858 to 1918, giving a rich and varied view of Adams' intellect and an unusual image of his warmth and compassion.",N/A,1838,1918,N/A,N/A
Adams,Henry,N/A,N/A,Arvin,Newton,The selected letters of Henry Adams,N/A,1951,N/A,"Farrar, Straus, and Young, Inc.",New York,279 p,N/A,N/A,N/A,N/A,"These letters have all been previously published and cover a period of 60 years, from his student letters from Germany in 1858 to the last year of his life, 1918.",N/A,1838,1918,N/A,N/A
Adams,Joey,N/A,N/A,N/A,N/A,From gags to riches,N/A,1946,N/A,"Frederick Fell, Inc.",New York,336 p,N/A,N/A,N/A,N/A,"Making it as a comic in New York, a narrative filled with quips, show business gossip, and name-dropping.",N/A,1911,N/A,N/A,N/A
Adams,Joey,N/A,N/A,N/A,N/A,The God bit,N/A,1974,N/A,Mason & Lipscomb Publishers,New York,252 p,N/A,N/A,N/A,N/A,"A comedian, author, and all-around show business personality tells anecdotes — some humorous, others serious — but all emphasizing the faith and belief in God which show people have.",N/A,1911,N/A,N/A,N/A
Adams,Joey,N/A,N/A,N/A,N/A,Cindy and I: the real life adventures of Mr. and Mrs. Joey Adams,N/A,1957,N/A,Crown Publishers,New York,320 p,N/A,N/A,N/A,N/A,"A wise-cracking, anecdotal account of the first five years of the marriage of comedian Joey Adams and his wife, Cindy (nee Heller).",N/A,1911,N/A,N/A,N/A
Adams,John,N/A,N/A,Cappon,Lester J.,Adams-Jefferson letters: the complete correspondence between Thomas Jefferson and Abigail and John Adams,N/A,1959,N/A,University of North Carolina Press,Chapel Hill,N/A,N/A,N/A,N/A,N/A,"An early project of the Institute of Early American History and Culture, this edition includes their complete correspondence.",N/A,1735,1826,N/A,N/A
Adams,John,N/A,N/A,Adams,Charles F.,Correspondence between John Adams and Mercy Warren,1878,1972,N/A,Arno Press,New York,436 p,N/A,N/A,N/A,N/A,"A lively and sometimes bitter exchange between John Adams and poetess, playwright, and staunch anti-Federalist, Mercy Warren.",N/A,1735,1826,N/A,N/A
Adams,John,N/A,N/A,Butterfield,L.H.,Diary and autobiography,N/A,1961,N/A,Harvard University Press,"Cambridge, Massachusetts",N/A,N/A,N/A,N/A,N/A,"Adams' diaries include Vol. I: Diary 1755-1770; Vol. II: Diary 1771-1781; Vol. III: Diary 1782-1804, fragmentary diaries of Abigail Adams, Autobiography Part I, and Vol. IV: Autobiography Part II.",N/A,1735,1826,N/A,N/A
Adams,John,N/A,N/A,Butterfield,L.H.,The earliest diary of John Adams: June 1753-April 1754; September 1758-January 1759,N/A,1966,N/A,Belknap Press of Harvard University Press,Cambridge,120 p,N/A,N/A,N/A,N/A,These fragments help to illuminate the mind and personality of the young John Adams.,N/A,1735,1826,N/A,N/A
Adams,John,N/A,N/A,Donovan,Frank,The John Adams papers,N/A,1965,N/A,"Dodd, Mead and Co.",New York,335 p,N/A,N/A,N/A,N/A,"Selected letters, papers, and other documents arranged to show John Adams in various roles.",N/A,1735,1826,N/A,N/A
Adams,John,N/A,N/A,Taylor,Robert J.,The papers of John Adams,N/A,1979,N/A,Belknap Press of Harvard University Press,"Cambridge, Massachusetts",N/A,N/A,N/A,N/A,N/A,"This judicious selection includes letters, committee reports, polemical writings, and state papers detailing Adams' commitment to public service.",N/A,1735,1826,N/A,N/A
Adams,John Quincy,N/A,N/A,Nevins,Allan,"Diary of John Quincy Adams, 1794-1845: American diplomacy and political, social, and intellectual life from Washington to Polk",1928,1969,N/A,Frederick Ungar,New York,586 p,N/A,N/A,N/A,N/A,A selection from a twelve-volume Memoirs traces a lifetime of public service in domestic and foreign affairs.,N/A,1767,1848,N/A,N/A
Adams,John Quincy,N/A,N/A,LaFeber,Walter,"John Quincy Adams and American continental empire: letters, papers and speeches",N/A,1965,N/A,Quadrangle Books,Chicago,157 p,N/A,N/A,N/A,N/A,A selection of writings by the sixth U.S. president intended to reveal his mind and passions.,N/A,1767,1848,N/A,N/A
Adams,John Quincy,N/A,N/A,Adams,Charles Francis,John Quincy Adams in Russia: comprising portions of the diary of John Quincy Adams from 1809-1814,1874,1970,N/A,Praeger Publishers,New York,662 p,N/A,N/A,N/A,N/A,"A reprint of Volume II of his memoirs, comprising the record of his experiences during his successful mission to the court of Czar Alexander I, beautifully written, eloquent in detail.",N/A,1767,1848,N/A,N/A
Addie,Pauline,N/A,N/A,N/A,N/A,Wings on my tennis shoes,N/A,1949,N/A,"Sampson Low, Marston and Co., Ltd.",London,198 p,N/A,N/A,N/A,N/A,The development of her career in tennis and her achievements as a professional player.,N/A,1919,N/A,N/A,N/A
Ade,George,N/A,N/A,Tobin,Terence,Letters of George Ade,N/A,1973,N/A,Purdue University Studies,"West Lafayette, Indiana",251 p,N/A,N/A,N/A,N/A,"With keen observation tempered by humor, Ade wrote stories and fables populated with characters typical of his small-town Indiana background. His correspondence follows his progress from Chicago journalist to popular author and playwright and back to his Indiana homeland and the life of a gentleman farmer.",N/A,1866,1944,N/A,N/A
Adler,Cyrus,N/A,N/A,Rosenbach,A.S.W.,I have considered the days,1941,1969,N/A,Burning Bush Press,New York,447 p,N/A,N/A,N/A,N/A,"Adler writes with thoughtful eloquence of his distinguished career as a Middle Eastern scholar, president of the Jewish Theological Seminary of America, and participation in many international educational, cultural, and religious symposia. A benevolent Jewishness pervades his orientation to the world.",N/A,1863,1940,N/A,N/A
Adler,Mortimer Jerome,N/A,N/A,N/A,N/A,Philosopher at large: an intellectual autobiography,N/A,1977,N/A,Macmillan Publishing Co.,New York,349 p,N/A,N/A,N/A,N/A,"Adler discusses his career as a popularizer of philosophy, particularly under the aegis of Robert Hutchins at the University of Chicago. Adler has been instrumental in establishing the Great Books series, and in planning and producing the fifteenth edition of the Encyclopedia Britannica.",N/A,1902,N/A,N/A,N/A
Adler,Polly,N/A,N/A,N/A,N/A,A house is not a home,N/A,1953,N/A,Rinehart and Co.,New York,374 p,N/A,N/A,N/A,N/A,"A madam explains her life as a prostitute and madam in New York City. The Roaring Twenties, the era's gangsters, problems with the law, and social stigma are all part of the narrative.",N/A,1900,1962,N/A,N/A
Adlum,John,N/A,N/A,Peckham,Howard H.,Memoirs of the life of John Adlum in the Revolutionary War,N/A,1968,N/A,"Caxton Club, for the William L. Clements Library Associates",Chicago,143 p,N/A,N/A,N/A,N/A,"An engaging account of a young patriot's participation in the Revolutionary War. Adlum, a private, fought in the War when he was fifteen to seventeen years old. He witnessed the British capture of New York City in 1776 and was himself taken prisoner-of-war in 1776.",N/A,1759,1836,N/A,N/A
Agee,James,N/A,N/A,N/A,N/A,The last letter of James Agee to Father Flye,N/A,1969,N/A,Godine,Boston,4 p,N/A,N/A,N/A,N/A,"Dated May 11, 1955, this last of a long series of his letters to Father Flye was found unmailed on the mantel of Agee's living room when Agee died.",N/A,1909,1955,N/A,N/A
Agee,James,N/A,N/A,N/A,N/A,Letters of James Agee to Father Flye,1962,1971,N/A,Houghton Mifflin Co.,Boston,267 p,N/A,N/A,N/A,N/A,Letters (1925-1955) from the writer to his friend and former teacher reveal the bond of understanding and the shared feelings between them.,N/A,1909,1955,N/A,N/A
Agle,Nan,N/A,N/A,Hayden,Emily,My animals and me: an autobiographical story,N/A,1970,N/A,The Seabury Press,New York,119 p,N/A,N/A,N/A,N/A,"Pleasant memories of her childhood in rural Maryland, her first pets, her parents and sisters, and a warm happy life.",N/A,1905,N/A,N/A,N/A
Agnew,Spiro Theodore,N/A,N/A,Nixon,Richard M.,Where he stands: the life and convictions of Spiro T. Agnew,N/A,1968,N/A,Hawthorn Books,New York,116 p,N/A,N/A,N/A,N/A,"A collection of statements articulating Agnew's conservative stand on civil rights, health and welfare, education, the Vietnam War, civil disobedience, and crime, compiled from speeches, press releases, and interviews, mostly in 1967 and 1968.",N/A,1918,N/A,N/A,N/A
Aherne,Brian,N/A,N/A,N/A,N/A,A proper job,N/A,1969,N/A,Houghton Mifflin Co.,Boston,355 p,N/A,N/A,N/A,N/A,"Born in England, Aherne acted in movies and on the stage there before coming to the United States and making his debut on Broadway (1931) and in American films (1933).",N/A,1902,N/A,N/A,N/A
Aiken,Conrad Potter,N/A,N/A,N/A,N/A,Ushant: an essay,1952,1971,N/A,Oxford University Press,New York,365 p,N/A,N/A,N/A,N/A,"This book by a poet and author is an experimental autobiography. Written in third person, it is 'an interior monologue autobiography of a literary man.' It does not relate a sequence of physical events, but stresses the emotional and psychological life of the author in England.",N/A,1889,1973,N/A,N/A
Albee,Fred Houdlett,N/A,N/A,N/A,N/A,A surgeon's fight to rebuild men: an autobiography,1943,1950,N/A,R. Hale,London,270 p,N/A,N/A,N/A,N/A,Recollections of a long active life in surgery including descriptions of innovative techniques and world-wide recognition of his work.,N/A,1876,1945,N/A,N/A
Albert,David E.,N/A,N/A,N/A,N/A,Dear Grandson,N/A,1950,N/A,"Olivier, Maney and Co.",Philadelphia,215 p,N/A,N/A,N/A,N/A,"A letter to the author's 13-year-old grandson, in which the elder tells of his adventures in escaping from Russia to America; his self-education; his employment as singer, bellboy, salesman, cigar-maker, and partner in a chain of drug stores; and his admiration of the free enterprise system.",N/A,1878,N/A,N/A,N/A
Albert,Herman W.,N/A,N/A,N/A,N/A,Odyssey of a desert prospector,N/A,1967,N/A,University of Oklahoma Press,Norman,260 p,N/A,N/A,N/A,N/A,"A wonderfully appealing story of prospecting, a lonely but richly rewarding life. As a neophyte, Albert learned by doing and by observing the old timers he met.",N/A,1882,N/A,N/A,N/A
Alcott,Amos Bronson,N/A,N/A,Herrnstadt,Richard L.,Letters of A. Bronson Alcott,N/A,1969,N/A,Iowa State University Press,"Ames, Iowa",846 p,N/A,N/A,N/A,N/A,"The first collection of all extant Alcott letters printed in full, this volume provides a valuable glimpse of nineteenth-century intellectual life as well as insight into the personal character of this man of letters, whose interests include education, women's rights, communal living, and philosophy.",N/A,1799,1888,N/A,N/A
Alcott,Louisa May,N/A,N/A,Cheney,Ednah D.,"Louisa May Alcott: her life, letters, and journals",N/A,1889,N/A,Roberts Brothers,Boston,404 p,N/A,N/A,N/A,N/A,"Letters and journal entries are arranged with commentary by the editor, following chronologically from a genealogy through the writing of Little Women to the last years. Includes entries from family acquaintances such as Emerson.",N/A,1832,1888,N/A,N/A
Aldrich,Mildred,N/A,N/A,N/A,N/A,"A hilltop on the Marne, being letters written June 3-September 8, 1914",N/A,1915,N/A,Houghton Mifflin Co.,Boston,187 p,N/A,N/A,N/A,N/A,"A polished, often witty and intelligent series of letters written by a New Englander living above the Marne in France at the beginning of World War I. An account of the quiet charm of the area, then the growing tension and the experience of being on the edge of a battlefield.",N/A,1853,1928,N/A,N/A
Aldrich,Mildred,N/A,N/A,N/A,N/A,"On the edge of the war zone, from the battle of the Marne to the entrance of the Stars and Stripes",N/A,1917,N/A,"Small, Maynard and Company",Boston,311 p,N/A,N/A,N/A,N/A,"A continuation of the author's A Hilltop on the Marne, this volume contains the human details and domestic concerns of a small village situated along the Marne and near the battlefront up to the U.S. entry in the war.",N/A,1853,1928,N/A,N/A
Aldrin,Edwin E.,N/A,N/A,Warga,Wayne,Return to earth,N/A,1973,N/A,Random House,New York,338 p,N/A,N/A,N/A,N/A,"Astronaut Aldrin writes of the training, the trip to the moon, and the historic first walk on the moon with Neil Armstrong, the instant fame requiring difficult adjustment, and his resulting mental depression, treatment, and recovery.",N/A,1930,N/A,N/A,N/A
Alexander,Eveline Martin,N/A,N/A,Myres,Sandra L.,"Cavalry wife: diary of Eveline M. Alexander, 1866-1867",N/A,1977,N/A,Texas A & M University Press,College Station,175 p,N/A,N/A,N/A,N/A,"This diary contains a good-natured account of the author's journey to join her husband at Ft. Smith, Arkansas, and of their travels with the cavalry throughout the territories of Texas, New Mexico, and Colorado.",N/A,1843,1922,N/A,N/A
Alexander,Guy B.,N/A,N/A,N/A,N/A,Chromatography: an adventure in graduate school,N/A,1977,N/A,American Chemical Society,"Washington, DC",165 p,N/A,N/A,N/A,N/A,"Alexander tells what it was like to be a graduate student at the University of Wisconsin in the late 1940's, doing doctoral research on chromatography to earn his Ph.D. in chemistry.",N/A,1918,N/A,N/A,N/A
Alexander,Holmes,N/A,N/A,N/A,N/A,Pen and politics: the autobiography of a working writer,N/A,1970,N/A,West Virginia University Library,Morgantown,212 p,N/A,N/A,N/A,N/A,"Possessed by a compulsion to write, Alexander gave up teaching, steeplechasing, and a life of security in his father's insurance firm to try to make his way by writing magazine articles, novels, biographies, and eventually syndicated newspaper columns.",N/A,1906,N/A,N/A,N/A
Alexander,Lloyd,N/A,N/A,N/A,N/A,My love affair with music,N/A,1960,N/A,Thomas Y. Crowell Co.,New York,274 p,N/A,N/A,N/A,N/A,"An author of books for children and adults writes of his passion for music, not as a professional but as an ordinary man addicted to the arts.",N/A,1924,N/A,N/A,N/A
Alexander,Morris,N/A,N/A,N/A,N/A,Israel and me: a behind-the-scenes look by a longtime U.S. Zionist leader and returned Israeli immigrant,N/A,1976,N/A,"Schenkman Publishing Co., Two Continents Publishing Group","Cambridge, Massachusetts",278 p,N/A,N/A,N/A,N/A,"Alexander, a lawyer and active Zionist, focuses on the establishment of Israel as a nation and on his role in abetting the emerging country through his activities in B'nai B'rith and other American Zionistic organizations.",N/A,1909,N/A,N/A,N/A
Alger,Philip Langdon,N/A,N/A,N/A,N/A,Tales of my life and family,N/A,1974,N/A,The Author,New York,261 p,N/A,N/A,N/A,N/A,"Alger, an engineer with General Electric Company for forty years, was instrumental in the adoption of the city manager government for Schenectady in the 1930's and charter government for Schenectady County in the 60's. The appendix includes speeches and papers by him and a list of patents, honors, books and articles.",N/A,1894,N/A,N/A,N/A
Allen,Arthur James,N/A,N/A,Heurlin,Rusty,A whaler & trader in the Arctic: 1895-1944: my life with the Bowhead,N/A,1978,N/A,Alaska Northwest Publishing Co.,Anchorage,213 p,N/A,N/A,N/A,N/A,Allen recounts his adventures throughout fifty years as a whaler and trader of whale ivory and sealskin in Barrow and other places in Alaska.,N/A,1875,1944,N/A,N/A
Allen,Asa Alonso,N/A,N/A,Wagner,Walter,"Born to lose, bound to win: an autobiography",N/A,1970,N/A,"Doubleday and Co., Inc.",New York,202 p,N/A,N/A,N/A,N/A,"A poor Missouri farmer born again in the middle of the Depression, he became a successful preacher and evangelist for the Pentecostal Church.",N/A,1911,1970,N/A,N/A
Allen,Charlotte Vale,N/A,N/A,N/A,N/A,Daddy's girl: a memoir,N/A,1980,N/A,Wyndham Books,New York,255 p,N/A,N/A,N/A,N/A,"Convinced that no one loved her except her father, Allen began an incestuous relationship with him at age eight, which she describes in graphic detail. Her personal life became more complicated until she found some release in her father's death.",N/A,1941,N/A,N/A,N/A
Allen,Florence Ellinwood,N/A,N/A,N/A,N/A,To do justly,N/A,1965,N/A,The Press of Western Reserve University,Cleveland,201 p,N/A,N/A,N/A,N/A,"She served as a common pleas judge, a justice of the Ohio Supreme Court, and a judge of the Federal Court of Appeals for the Sixth Circuit. Her book describes growing up in Ohio and Utah, going to law school at Chicago University and New York University where she became involved in the woman's suffrage movement, returning to Ohio to set up her law practice, and becoming a judge.",N/A,1884,1966,N/A,N/A
Allen,Fred,N/A,N/A,McCarthy,Joe,Fred Allen's letters,N/A,1965,N/A,"Doubleday & Co., Inc.","Garden City, New York",359 p,N/A,N/A,N/A,N/A,"Known for his wit both offstage and on, comedian Allen reveals his sharp and zany humor in this selection from the thousands of letters he wrote to fans and friends in and out of show business.",N/A,1894,1956,N/A,N/A
Allen,Fred,N/A,N/A,N/A,N/A,Much ado about me,N/A,1956,N/A,"Little, Brown and Co.",Boston,380 p,N/A,N/A,N/A,N/A,"He died before completing the book, which is a narrative of his boyhood in the Boston suburbs, his apprenticeship as a comedian, and his gradual success as a vaudeville performer, up to 1929.",N/A,1894,1956,N/A,N/A
Allen,Fred,N/A,N/A,N/A,N/A,Treadmill to oblivion,N/A,1954,N/A,"Little, Brown and Co.",Boston,240 p,N/A,N/A,N/A,N/A,A comedian describes the development and early days of radio comedy in New York and his part in the industry. The book contains excerpts from a number of the actual scripts used by Allen on the air.,N/A,1894,1956,N/A,N/A
Allen,George Edward,N/A,N/A,N/A,N/A,Presidents who have known me,N/A,1950,N/A,Simon and Schuster,New York,246 p,N/A,N/A,N/A,N/A,"Allen, under Franklin Roosevelt a commissioner of Washington, D.C., and a Truman appointee to the Reconstruction Finance Committee, offers a hilarious account of his years in business and politics, focusing on Eisenhower, Henry Wallace, Alben Barkley, Adlai Stevenson, as well as Roosevelt and his favorite, Harry Truman.",N/A,1896,1973,N/A,N/A
Allen,Richard,N/A,N/A,N/A,N/A,Life experience and gospel labors of the Rt. Rev. Richard Allen,N/A,1960,N/A,Abington Press,New York,93 p,N/A,N/A,N/A,N/A,"Born a slave to a prominent Quaker lawyer in Philadelphia, he became a Methodist minister. In 1787 he and other Negro Methodists withdrew from the Philadelphia Methodist Episcopal Church because of prevailing practices of racial discrimination. In 1816 the A.M.E. Church was formally organized, with Allen consecrated as its first bishop.",N/A,1760,1831,N/A,N/A
Allen,Steve,N/A,N/A,N/A,N/A,Mark it and strike it: an autobiography,N/A,1960,N/A,"Holt, Rinehart and Winston",New York,432 p,N/A,N/A,N/A,N/A,"A critical review of his career as an entertainer on radio and television, with an interesting analysis on the subject of comedy.",N/A,1921,N/A,N/A,N/A
