author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
ABINGER,"James Scarlett, 1st Baron",N/A,N/A,Scarlett,Peter C.,Memoir,1877,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Includes fragment of autobiography of youth, and beginning of legal career; political and legal figures at end of 18th Century.",Noble; Politician; Lawyer,N/A,N/A,N/A,N/A
ABLETT,William H.,N/A,N/A,N/A,N/A,Reminiscences of an Old Draper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His work in the drapery trade; changes, fashions, and economics; social life.",Draper,N/A,N/A,N/A,N/A
ABRAHAM,James Johnston,N/A,N/A,N/A,N/A,My Balkan Log,1911,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medical and army career; experiences with RAMC; Salonika; WWI.,N/A,N/A,N/A,N/A,N/A
AN ACCURATE OBSERVER,N/A,N/A,N/A,N/A,N/A,A Record of Half a Century,1838,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His travels in England, Ireland, France and Italy and meetings with Byron and other celebrities.",N/A,N/A,N/A,N/A,N/A
ACKERLEY,Joe Randolph,N/A,N/A,N/A,N/A,Escapers All,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A report of broadcast narratives of fifteen escapees during WWI; life in prison camps; ingenious methods of escape; adventures.,N/A,N/A,N/A,N/A,N/A
ACKERLEY,Joe Randolph,N/A,N/A,N/A,N/A,Hindoo Holiday,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experiences as secretary and political agent to Indian prince; court life.,N/A,N/A,N/A,N/A,N/A
ACLAND,Lady Eleanor M.,N/A,N/A,N/A,N/A,Goodbys,1935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Her own childhood in Westmoreland and her daughter's in Devonshire; pleasant country life.,N/A,N/A,N/A,N/A,N/A
CLAND,John E.,N/A,N/A,N/A,N/A,Through the Ranks,1881,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Peacetime army service in 70's; life of rankers; Gibraltar; barrack life; attitudes.,N/A,N/A,N/A,N/A,N/A
ACLAND,Sarah Angelina,N/A,N/A,Henderson,Emily,Old Lady's Biography,1871,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mainly autobiographical reminiscences of country life and social life in London; visits to Paris.,N/A,N/A,N/A,N/A,N/A
ADYE,Major-Gen. Sir John,N/A,N/A,N/A,N/A,N/A,1925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Trials, lawyers and judges; reforms; career from 1876; Egypt, India & South Africa; Boer War; WWI; Staff College; celebrities.",Major-General,N/A,N/A,N/A,N/A
ADAM,Harry,N/A,N/A,N/A,N/A,Old Days at the Old Bailey,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Trials, lawyers and judges; reforms; career from 1876; Egypt, India & South Africa; Boer War; WWI; Staff College; celebrities.",N/A,N/A,N/A,N/A,N/A
ADAM,Ronald,N/A,N/A,N/A,N/A,Overture and Beginners,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WWI and after; London theatre productions at the Embassy.,N/A,N/A,N/A,N/A,N/A
ADYE,Gen. Sir John Miller,N/A,N/A,N/A,N/A,Recollections,1695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Artillery; surveyor-general of ordnance in Crimea, Indian Mutiny; Egyptian War; 1854-82.",General,N/A,N/A,N/A,N/A
ADAMS,Bill (Bertram Martin),N/A,N/A,N/A,N/A,Ships and Women,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Childhood in England; hardships at sea; farming on Cape Horn; adventures.,N/A,N/A,N/A,N/A,N/A
AFLALO,Frederick George,N/A,N/A,N/A,N/A,Salt of My Life,1905,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Lifetime of sea-fishing, England and abroad.",N/A,N/A,N/A,N/A,N/A
ADAMS,Henry,N/A,N/A,N/A,N/A,Some Reminiscences,1925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A civil engineer for 75 years; public works and docks; amusements and social life; London; science.,Civil Engineer,N/A,N/A,N/A,N/A
ADAMS,Capt. John Bernard P.,N/A,N/A,N/A,N/A,Nothing of Importance,1917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Service with Welsh regiment in France in WWI; fresh and sensitive.,Captain,N/A,N/A,N/A,N/A
ADAMS,Joseph,N/A,N/A,N/A,N/A,Fifty Years' Angling,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Reminiscences of sport in English, European, Canadian rivers.",N/A,N/A,N/A,N/A,N/A
AGNEM,Derek,N/A,N/A,N/A,N/A,Bovin Boy,1947,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Pit work in Kent under Bevin plan, WW2; a realistic picture of mining life.",N/A,N/A,N/A,N/A,N/A
ADAMS,William,N/A,N/A,N/A,N/A,An Old English Potter,1904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Work and life in Staffordshire; travels in England and Europe; end of 18th Century.,Potter,N/A,N/A,N/A,N/A
AINGER,Arthur Campbell,N/A,N/A,N/A,N/A,Memories of Eton,1917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Schoolboy in 50's; sport traditions, masters, celebrities.",N/A,N/A,N/A,N/A,N/A
ADAMS,William Alexander,N/A,N/A,N/A,N/A,Twenty-Five Years' Reminiscences,1892,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Country life in Scotland; mainly devoted to a technical description of the shooting of grouse.,N/A,N/A,N/A,N/A,N/A
AINSLIE,Ainslie Douglas,N/A,N/A,N/A,N/A,The Social and Literary,1922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Diplomat; career; anecdotes of public personages, society and writers; travels; England and France.",Diplomat,N/A,N/A,N/A,N/A
ADDISON,Henry Robert (Lt.Col.),N/A,N/A,N/A,N/A,Diary of a Judge; Reflections of Late; An Irish Police 2 All at Sea,1860,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Work as a subaltern and police magistrate in Limerick, in the twenties; journey to West Africa, to take up official post; administration.",Lieutenant Colonel; Police Magistrate,N/A,N/A,N/A,N/A
AINSLIE,Philip Barrington,N/A,N/A,N/A,N/A,Cences of a Scottish Gentleman,1861,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Life and society in 1790's; early years in the navy; Napoleon; West Indian planter; business in Liverpool; travels; may be fiction.,Navy; Planter; Businessman,N/A,N/A,N/A,N/A
ALDERTON,Haddon,N/A,N/A,N/A,N/A,One Man's Meat,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Ranching in Canada; osteopath; military service in Philippines & in France, WWI; adventures.",Rancher; Osteopath; Military Service,N/A,N/A,N/A,N/A
ALBANI,N/A,N/A,N/A,N/A,N/A,Forty Years,1911,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Canadian childhood; concert and opera career; oratorio; Wagner; travels in the Empire; anecdotes.,N/A,N/A,N/A,N/A,N/A
ALEXANDER,Alec,N/A,N/A,N/A,N/A,A Wayfarer!,1919,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His life at fairs and on open road; caravanning; athletics, walking, gymnastics; sports, from 60's.",N/A,N/A,N/A,N/A,N/A
ALEXANDER,Alexander,N/A,N/A,N/A,N/A,Life,1630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Harsh boyhood in Scotland; at sea and in army; Ceylon; West Indies; adventurer's picaresque life; a dictated autobiography.,Adventurer,N/A,N/A,N/A,N/A
ALEXANDER,David Alfred,N/A,N/A,N/A,N/A,Notitia,1949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A general practitioner's posthumously published memories and notes on medicine addressed to his son who chose another profession.,General Practitioner,N/A,N/A,N/A,N/A
ALEXANDER,Ann,N/A,N/A,N/A,N/A,"Quaker diary, 1849-1850",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Visiting Quaker schools in West Indies; Coddrington College; missionary work with husband; pleasant record.,Missionary,N/A,N/A,N/A,N/A
ALEXANDER,Boyd,N/A,N/A,N/A,N/A,"Travel diary, 1908-1910; Boyd Alexander's Last Journey",1912,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Expedition to the Cameroons; exploration, anthropology, topography & natural history.",Explorer,N/A,N/A,N/A,N/A
ALEXANDER,Heber M. A.,N/A,N/A,N/A,N/A,On Two Fronts,1917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Service with Indian male corps WW1; France and Gallipoli.,N/A,N/A,N/A,N/A,N/A
ALFORD,Frances,N/A,N/A,N/A,N/A,Clergyman's Wife,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Life and the poor; visiting; old friends; pleasant.,Clergyman's Wife,N/A,N/A,N/A,N/A
ALLEN,George,N/A,N/A,N/A,N/A,Machine Breaker,1831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Working-class life; apprenticeship; a profligate career and lost job; conspiracy to destroy machines; imprisonment and repentance.,N/A,N/A,N/A,N/A,N/A
ALLEN,Isaac Nicholson (Rev.),N/A,N/A,N/A,N/A,Diary of a March through Sinde,1843,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Service as chaplain on expedition into Sind and Afghanistan; with Nott's troops; topography.,Chaplain,N/A,N/A,N/A,N/A
ALLEN,J. Archibald,N/A,N/A,N/A,N/A,One of Ten,1929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Amusements of child in a large family; school; sports.,N/A,N/A,N/A,N/A,N/A
ALLEN,John,N/A,N/A,Jackson,Thomas,"Autobiography of itinerant preacher, in Northumberland and North of England",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Preacher,N/A,N/A,N/A,N/A
ALLEN,Mary S.,N/A,N/A,N/A,N/A,Lady in Blue,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Militant suffragette; organizing the women police; sex crimes; drugs; war work in the service; travels.,Suffragette,N/A,N/A,N/A,N/A
ALLEN,Oswald H.,N/A,N/A,N/A,N/A,History of the York Dispensary,1845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medical work in York in 18th Century; York Dispensary; family and personal affairs.,Medical worker,N/A,N/A,N/A,N/A
ALLEN,Roland (Rev.),N/A,N/A,N/A,N/A,Siege of the Peking Legations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A chaplain's account of siege of Pekin; Christian behavior.,Chaplain,N/A,N/A,N/A,N/A
ALLEN,Rose,N/A,N/A,N/A,N/A,"Autobiography, ed. by a Lady",1849,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Servant's life and work in country houses; society life; families she worked for; her moral crises may be fiction.,Servant,N/A,N/A,N/A,N/A
ALLINGHAM,Philip,N/A,N/A,N/A,N/A,Cheapjack,1934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Life at fairs; fortune-teller; cheapjack; hawker; salesman; amusing career of gentle grafter; slang.,Hawker; Salesman,N/A,N/A,N/A,N/A
ALLISON,William,N/A,N/A,N/A,N/A,My Kingdom,1919,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sports journalist,N/A,N/A,N/A,N/A
ALLTREE,George W.,N/A,N/A,N/A,N/A,Footlight Memories,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liverpool boyhood; theatrical and vaudeville agent from 1905; anecdotes comedians and actors.,Theatrical agent,N/A,N/A,N/A,N/A
ALLWOOD,Montagu C.,N/A,N/A,N/A,N/A,Third and Fourth Generation,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Village life, Sussex; career as nurseryman; reminiscences of Wivelsfield Green.",Nurseryman,N/A,N/A,N/A,N/A
ANGIER,John,N/A,N/A,Heywood,Oliver,A Narrative,1683,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brief religious autobiography; visit to New England.,N/A,N/A,N/A,N/A,N/A
ANGLE,Bernard John,N/A,N/A,N/A,N/A,My Sporting Memories,1925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lifetime of sport; especially boxing.,N/A,N/A,N/A,N/A,N/A
ANGLESEY,"Arthur Annesley, 1st Earl",N/A,N/A,N/A,N/A,Memoirs,1693,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Religious life and mo- ralisings; 17th Century.,N/A,N/A,N/A,N/A,N/A
ANSON,Archibald E. H. (Gen. Sir),N/A,N/A,N/A,N/A,About Others and Myself,1920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Woolwich and army career in infantry; Crimean War; adventures; anecdotes.,General; Infantry,N/A,N/A,N/A,N/A
ANSON,Clodagh (Lady),N/A,N/A,N/A,N/A,Book; Another Book,1931; 1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Irish childhood; marriage and social life; ranching in Texas; welfare work among down and out.,N/A,N/A,N/A,N/A,N/A
AQUILA,N/A,N/A,N/A,N/A,N/A,With the Cavalry,1922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Experiences of subaltern with cavalry; WWI in France.,Subaltern; Cavalry,N/A,N/A,N/A,N/A
ARBENINA,Stella (Baroness Meyendorff),N/A,N/A,N/A,N/A,The T 0],1929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Englishwoman's adventures in Russia before and during the Bolshevik revolution; wife of an aristocrat; her exciting escape.,N/A,N/A,N/A,N/A,N/A
ARBUTHNOT,Alexander John (Sir),N/A,N/A,N/A,N/A,"Memories of Rugby, Arnold, Hughes",1910,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55 years in public service in India; director of public instruction Madras University; Council of India; society and friends.,Sir; Public Servant; Educator,N/A,N/A,N/A,N/A
ARBUTHNOTT,Alexander Dundas Y. (Sir),N/A,N/A,N/A,N/A,Memoir,1884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Naval service as boy; Peninsular war; diary.,Sir; Naval Officer,N/A,N/A,N/A,N/A
ARCH,Joseph,N/A,N/A,N/A,N/A,Story of His Life,1898,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Agricultural laborer, Warwickshire; labor leader; struggles to form Agricultural Labourers Union; member of Parliament.",Agricultural Laborer; Labor Leader; Politician,N/A,N/A,N/A,N/A
ARCHER,Frank,N/A,N/A,N/A,N/A,Actor's Notebooks,1912,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Reminiscences of literary and celebrities, 1845-99.",Actor,N/A,N/A,N/A,N/A
ARCHER,George,N/A,N/A,N/A,N/A,Plantation diary,1828-41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plantation work in Jamaica; Spring Mount and Greenfield; slaves & their behavior.,Plantation Worker,N/A,N/A,N/A,N/A
ARDITI,Luigi,N/A,N/A,N/A,N/A,My Reminiscences,1896,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Italian upbringing; experiences as conductor and composer in London; court; musical circles.,Conductor; Composer,N/A,N/A,N/A,N/A
ARGALL,Phyllis,N/A,N/A,N/A,N/A,Prisoner in Japan,1945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Twenty years in Japan; work as missionary, teacher, journalist, editor; imprisonment during WW2; life and character of Japanese.",Missionary; Teacher; Journalist; Editor,N/A,N/A,N/A,N/A
ARGYLL,"George D. Campbell, 8th Duke",N/A,N/A,N/A,N/A,Autobiography; Passages,1906; 1907,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Social, literary, and political life; Palmerston and Derby administrations; Postmaster-General; Scottish life and church; celebrated figure.",Duke; Politician,N/A,N/A,N/A,N/A
ARIA,Eliza (Davis),N/A,N/A,N/A,N/A,My Sentimental Self,1922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Childhood; designing and journalism in London; theatrical and literary celebrities.,Journalist; Designer,N/A,N/A,N/A,N/A
ANSON,Harold,N/A,N/A,N/A,N/A,Looking Forward,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ministry in England and N.Z.; rural dean; Master of Temple; religious movements; clerical life.,Dean; Clergyman,N/A,N/A,N/A,N/A
ANSON,Peter Frederick,N/A,N/A,N/A,N/A,Harbor He; Roving Recluse,1944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Life in Caldey and other monasteries; travels in Europe and Canada; life at sea; religion; adventure.,N/A,N/A,N/A,N/A,N/A
ANSTED,David Thomas,N/A,N/A,N/A,N/A,Scenery,1854,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Travels and work of mining engineer & geology professor; Europe, Africa and America; slavery; geology.",Mining Engineer; Geology Professor,N/A,N/A,N/A,N/A
ANSTRUTHER-THOMSON,John (Col.),N/A,N/A,N/A,N/A,Eighty Years' Reminiscences,1904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Life and service in Fifeshire regiments at home and in South Africa; sports, and foxhunting with Pytchley, Scottish and Welsh packs.",Colonel; Military Officer,N/A,N/A,N/A,N/A
ANTHONY,Francis,N/A,N/A,N/A,N/A,A Man's a Man,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Orphanage upbringing; bandboy in Hussars; with Black Watch in WWI; odd jobs; poetry; journalism; affection for the well-to-do.,Musician; Poet; Journalist,N/A,N/A,N/A,N/A
ANTON,James,N/A,N/A,N/A,N/A,Retrospect of a Military Life,1841,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Army career; QMS in a Scottish regiment during the Peninsular War.,Quartermaster-Sergeant; Army,N/A,N/A,N/A,N/A
ANTROBUS,George Pollock,N/A,N/A,N/A,N/A,Kings Messenger,1941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Travels of foreign service messenger, 1918-40; politics and foreign affairs.",Messenger; Diplomat,N/A,N/A,N/A,N/A
APEX,N/A,N/A,N/A,N/A,N/A,Uneasy Triangle,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Four years' service with army of the Rhine; politics and relations of British and French and Germans.,N/A,N/A,N/A,N/A,N/A
APPERLEY,Charles James,N/A,N/A,N/A,N/A,Life of a Sportsman; Hunting; My Life and Times,"1842, 1948; 1843, 1927; 1927",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nimrod's reminiscences of life among the aristocracy & country gentry during the Regency; chase, hunting, racing; celebrities; lively picture and anecdotes of the sporting journalist.",Sportsman; Journalist,N/A,N/A,N/A,N/A
APPLIN,Reginald V. K. (Col.),N/A,N/A,N/A,N/A,Across the Seven Seas,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Adventures and military career; Malaya; Africa; WWI; from late 19th Century.,Colonel; Military Officer,N/A,N/A,N/A,N/A
ARKELL-HARDWICK,Alfred,N/A,N/A,N/A,N/A,An Ivory Trader in North Kenya,1903,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hunting and trade in Kenya; adventures; native tribes.,Trader,N/A,N/A,N/A,N/A
ARKWRIGHT,Albert S. B. (Maj.),N/A,N/A,N/A,N/A,Return Journey,1948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WWII prisoner in Germany; plans for escape; adventures in crossing Germany to Holland and Spain his benefactors.,Major; Prisoner of War,N/A,N/A,N/A,N/A
ARLINGTON,Lewis Charles,N/A,N/A,N/A,N/A,The Dragon's Eyes,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fifty years with Chinese navy, customs service and post office; Sun Yat Sen; politics and revolution.",Customs Officer; Naval Officer,N/A,N/A,N/A,N/A
ARLISS,George,N/A,N/A,N/A,N/A,The Stage; The Years,1927; 1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Struggles and success as actor on stage and screen; London; Hollywood; actors and producers.,Actor,N/A,N/A,N/A,N/A
ARMISTEAD,J.J.,N/A,N/A,N/A,N/A,Piloted; Ten Years,1906; 1913,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Business in Leeds; fish culture in Scotland; Quaker life; his missionary work in Arctic lands North of Norway; travel and adventures.,Businessman; Quaker Missionary,N/A,N/A,N/A,N/A
ARMITAGE,Capt. Albert B.,N/A,N/A,N/A,N/A,Cadet to Commodore,1925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood on sailing ships; work on P. and O. liners; Polar expeditions; troopships WWI; adventure for boys.,Captain; Naval Officer,N/A,N/A,N/A,N/A
ARMSTRONG,Anthony (A.A. Willis),N/A,N/A,N/A,N/A,We Like the Country,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An account of his life in Sussex; country ways & people; novelist and humorist.,Novelist; Humorist,N/A,N/A,N/A,N/A
ARMSTRONG,Chester,N/A,N/A,N/A,N/A,Pilgrimage,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pursuit of self-reliance; religious & political revolt; work for the Labour Party; Durham.,Activist; Politician,N/A,N/A,N/A,N/A
ARMSTRONG,George Gilbert,N/A,N/A,N/A,N/A,Memories,1944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Religious life and journalism in Yorks and London; liberal politics and educational work; Children's Newspaper; Unitarianism; peace work.,Journalist; Educator,N/A,N/A,N/A,N/A
ARMSTRONG,James M.,N/A,N/A,N/A,N/A,N/A,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scotsman's service in French Foreign Legion in Morocco and Syria; his crimes and prison life.,Legionnaire,N/A,N/A,N/A,N/A
ARMSTRONG,Martin D.,N/A,N/A,N/A,N/A,Victorian Peep-show,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Recollections of boyhood; family, schools, holidays, houses and places; a boy's world.",N/A,N/A,N/A,N/A,N/A
ARMSTRONG,Thomas,N/A,N/A,N/A,N/A,My Life in Connaught,1906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Presbyterian clergyman and superintendent of schools and orphanage; his work; famine; religious rivalry; interesting record of 1840-60's.,Clergyman; Educator,N/A,N/A,N/A,N/A
ARMSTRONG,Warren,N/A,N/A,N/A,N/A,Saltwater Tramp,1944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Ship's engineer and unemployed travels in many lands; journalism and adventures, 1919-39.",Engineer; Journalist,N/A,N/A,N/A,N/A
ARMYTAGE,Percy,N/A,N/A,N/A,N/A,By the Clock,1927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Usher to the King; state occasions; & London life and society from 1870; celebrities.,Usher,N/A,N/A,N/A,N/A
ARNOLD,Frederick,N/A,N/A,N/A,N/A,Reminiscences of a Literary and Clerical Life,1889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cambridge and Oxford; life and work as minister; scholarship and writing in London; magazines; preachers.,Minister; Writer,N/A,N/A,N/A,N/A
ARNOLD,Julian B.,N/A,N/A,N/A,N/A,Giants in Dressi ___ Gowns,1942,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Childhood reminiscences of son of Sir Edwin Arnold; Garibaldi, Darwin, Swinburne, Crookes; Conan Doyle, etc.",N/A,N/A,N/A,N/A,N/A
ARNOLD,Thomas,N/A,N/A,N/A,N/A,Passages,1900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His boyhood in literary society; Oxford; Newman and Anglo-Tasmania and N.2.; Catholicism; teaching at Oxford; religion, politics, literature.",N/A,N/A,N/A,N/A,N/A
