author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
Addams,Jane,N/A,N/A,N/A,N/A,Twenty years at Hull House.,1910,N/A,N/A,N.Y.: Macmillan,New York,462 p.,N/A,N/A,N/A,N/A,The book covers the author's social reform work in Chicago.,Social reformer,1860,1935,N/A,Chicago
Akeley,Carl Ethan,N/A,N/A,N/A,N/A,In brightest Africa.,1923,N/A,N/A,"Garden City, N.Y.; Doubleday, Page",Garden City,267 p.,N/A,N/A,N/A,N/A,The author discusses his early life and missionary labors in Armenia and among Negroes.,N/A,1864,1926,N/A,N/A
Albee,Fred Houdlett,N/A,N/A,N/A,N/A,A surgeon’s fight to rebuild men.,1943,N/A,N/A,N.Y.: E.P. Dutton,New York,349 p.,N/A,N/A,N/A,N/A,The author recounts his experiences as a surgeon.,Physician,1876,N/A,N/A,N/A
Aldridge,Reginald,N/A,N/A,N/A,N/A,"Life on a ranch; ranch notes in Kansas, Colorado, the Indian territory, and northern Texas.",1884,N/A,N/A,N.Y.: D. Appleton & Company,New York,227 p.,N/A,N/A,N/A,N/A,Descriptions of life on a ranch.,N/A,N/A,N/A,N/A,"Kansas, Colorado, Indian territory, northern Texas"
Alldredge,Eugene Perry,N/A,N/A,N/A,N/A,Cowboys and coyotes.,1945,N/A,N/A,Nashville,N/A,184,N/A,N/A,N/A,N/A,Social life in Virginia.,"scout, guide, hunter, Indian fighter",N/A,N/A,Montana,Dakota
Allen,Joel Asaph,N/A,N/A,N/A,N/A,Autobiographical notes and a bibliography of the scientific publications of Joel Asaph Allen.,1916,N/A,N/A,New York,N/A,215,N/A,N/A,N/A,N/A,Ornithologist and mammalogist connected with the Museum of Comparative Zoology at Harvard and later with the American Museum of Natural History.,"Ornithologist, Mammalogist",1838,1921,N/A,N/A
Allen,J. Sidna,N/A,N/A,N/A,N/A,Memoirs.,N/A,N/A,N/A,"Madison, N.C.",N/A,N/A,N/A,N/A,N/A,N/A,As described by the title.,Virginia merchant,N/A,N/A,N/A,N/A
Allen,Frank Gibbs,N/A,N/A,N/A,N/A,Autobiography.,1887,N/A,N/A,Cincinnati: Guide pr. & pub. co.,N/A,259,N/A,N/A,N/A,N/A,"Hunter, trapper, and miner in California and the mountain states.","Hunter, Trapper, Miner",1836,1887,N/A,California
Allen,George,N/A,N/A,N/A,N/A,Reminiscences of the Rev. George Allen of Worcester.,1883,N/A,N/A,"Worcester, Mass.: Putnam & Davis",N/A,127,N/A,N/A,N/A,N/A,Congregational minister serving mostly in Massachusetts.,Congregational Minister,1792,1883,N/A,Worcester
Allen,Richard,N/A,N/A,N/A,N/A,"The life, experience, and gospel labors.",1887,N/A,N/A,Phila.: A.M.E. book co.,N/A,69,N/A,N/A,N/A,N/A,Negro Methodist clergyman in Philadelphia.,Methodist Clergyman,1760,1831,N/A,Philadelphia
Allen,Hervey,N/A,N/A,N/A,N/A,Toward the flame.,N/A,N/A,N/A,N.Y.: N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1889,N/A,N/A,N/A
Allen,James,N/A,N/A,N/A,N/A,A Kentucky cardinal and aftermath.,N/A,N/A,N/A,N.Y.: Macmillan,N/A,N/A,N/A,N/A,N/A,N/A,Methodist clergyman.,Methodist Clergyman,1809,1837,N/A,N/A
Allen,William Alonzo,N/A,N/A,N/A,N/A,"Adventures with Indians and game, or twenty years in the Rocky Mountains.",1903,N/A,N/A,Chicago: A. W. Bowen,N/A,302,N/A,N/A,N/A,N/A,By a hunter and Indian fighter.,"Hunter, Indian Fighter",1848,N/A,N/A,N/A
Allen,William M.,N/A,N/A,N/A,N/A,Five years in the West.,1884,N/A,N/A,Nashville: Southern Methodist pub. house,N/A,211,N/A,N/A,N/A,N/A,Methodist clergyman.,Methodist Clergyman,N/A,N/A,N/A,N/A
Anderson,Garland-Andrews,N/A,N/A,N/A,N/A,Confederate brigade.,1868,N/A,N/A,Times pr. co.,St. Louis,436 p.,N/A,N/A,N/A,N/A,As described by the title.,N/A,N/A,N/A,N/A,N/A
Anderson,Garland,N/A,N/A,N/A,N/A,From newsboy and bellhop to playwright.,1925?,N/A,N/A,N/A,N/A,30 p.,N/A,N/A,N/A,N/A,By a Negro playwright.,playwright,N/A,N/A,N/A,N/A
Anderson,Idella Alderman,N/A,N/A,N/A,N/A,When you and I were young.,1927,N/A,N/A,The Recorder press,"Holton, Kan.",41 p.,N/A,N/A,N/A,N/A,Youth on a farm in Kansas.,N/A,N/A,N/A,N/A,N/A
Anderson,Isabel Weld (Perkins),N/A,N/A,N/A,N/A,Zigzagging.,1918,N/A,N/A,Houghton Mifflin co.,Boston & N.Y.,269 p.,N/A,N/A,N/A,N/A,Canteen worker in France during the first World War.,canteen worker,1876,N/A,N/A,N/A
Anderson,John Wesley,N/A,N/A,N/A,N/A,From the plains to the pulpit.,1907,N/A,N/A,J.W. Anderson & sons,"Goose Creek, Texas",315 p.,N/A,N/A,N/A,N/A,By a Baptist clergyman.,Baptist clergyman,1855,N/A,N/A,N/A
Anderson,Joshua,N/A,N/A,N/A,N/A,Autobiography.,N/A,N/A,N/A,N/A,N/A,4 p.,N/A,N/A,N/A,N/A,Farmer in Missouri and Kansas.,farmer,1817,N/A,N/A,N/A
Anderson,Margaret C.,N/A,N/A,N/A,N/A,My thirty years’ war; an autobiography.,1930,N/A,N/A,"Covici, Friede",N.Y.,274 p.,N/A,N/A,N/A,N/A,"Chicago journalist, and editor of the Little Review.","journalist, editor",N/A,N/A,N/A,N/A
Anderson,Mary Jane Hill,N/A,N/A,N/A,N/A,Autobiography.,1934,N/A,N/A,Priv. pr.,Minneapolis,39 p.,N/A,N/A,N/A,N/A,Life on a farm in Minnesota.,N/A,1827,1924,N/A,N/A
Anderson,Mary Mabbette,N/A,N/A,N/A,N/A,Lights and shadows of the life in Canaan.,1906,N/A,N/A,J.M. Pike,"Columbia, S.C.",92 p.,N/A,N/A,N/A,N/A,A lay mission worker in South Carolina.,lay mission worker,N/A,N/A,N/A,N/A
Anderson,Micajah,N/A,N/A,N/A,N/A,"The life of Micajah Anderson, of Edgecombe County. By himself.",1870,N/A,N/A,From Wm. A. Hearne’s printing publishing house,"Tarboro, N.C.",47 p.,N/A,N/A,N/A,N/A,North Carolina farmer.,farmer,1803,N/A,N/A,N/A
Anderson,Rasmus B.,N/A,N/A,N/A,N/A,Life story.,1917,"2d ed., rev.",N/A,Priv. pr.,Madison,671 p.,N/A,N/A,N/A,N/A,Wisconsin professor who also served as U.S. Minister to Denmark.,"professor, diplomat",1846,N/A,N/A,N/A
Anderson,Rebecca Anne (Warwick),N/A,N/A,N/A,N/A,Autobiography.,1932,N/A,N/A,N/A,Seattle,26 p.,N/A,N/A,N/A,N/A,"The wife of an Ohio merchant tells of her lay church work in Ohio and of her life on a farm in Kansas, and of her childhood in Virginia.",merchant's wife,1840,N/A,N/A,N/A
Anderson,Robert,N/A,N/A,N/A,N/A,The life of Rev. Robert Anderson.,1892,N/A,N/A,Priv. pr.,Macon,151 p.,N/A,N/A,N/A,N/A,Negro (Methodist) clergyman in Georgia.,clergyman,1819,N/A,N/A,N/A
Anderson,Robert,N/A,N/A,N/A,N/A,"From slavery to affluence; memoirs of Robert Anderson, ex-slave.",1927,N/A,N/A,The Hemingford Ledger,"Hemingford, Neb.",59 p.,N/A,N/A,N/A,N/A,"Born in Kentucky, served in a Negro regiment during the Civil War, and farmed in Nebraska.","ex-slave, farmer",1843,N/A,Kentucky,Nebraska
Anderson,Robert A.,N/A,N/A,N/A,N/A,Fighting the Mill Creeks.,1909,N/A,N/A,Priv. pr.,"Chico, Calif.",N/A,N/A,N/A,N/A,N/A,In the northern Sierras.,N/A,N/A,N/A,N/A,N/A
Anderson,William J.,N/A,N/A,N/A,N/A,"Life and narrative of William J. Anderson, twenty-four years a slave.",1857,N/A,N/A,Daily Tribune,Chicago,81 p.,N/A,N/A,N/A,N/A,As described by the title.,N/A,1811,N/A,N/A,N/A
Andrews,Andrew Jackson,N/A,N/A,N/A,N/A,A sketch of his boyhood days...and his experience as a soldier.,1905,N/A,N/A,Hermitage press,"Richmond, Va.",163 p.,N/A,N/A,N/A,N/A,Confederate soldier whose youth was spent in Virginia.,Confederate soldier,1842,N/A,N/A,N/A
Andrews,Christopher Columbus,N/A,N/A,N/A,N/A,Recollections: 1829-1922.,1928,N/A,N/A,Arthur H. Clark,Cleveland,299 p.,N/A,N/A,N/A,N/A,"Minnesota lawyer, politician and member of the U.S. diplomatic service.","lawyer, politician, diplomat",1829,1922,N/A,N/A
Andrews,Edwin Alvia,N/A,N/A,N/A,N/A,Reminiscent musings.,1926,N/A,N/A,E. A. Andrews,"Spring Arbor, Mich.",113 p.,N/A,N/A,N/A,N/A,"Free Methodist missionary in Nebraska, Kansas, Oklahoma and Texas.",missionary,1833,N/A,N/A,N/A
Andrews,Emerson,N/A,N/A,N/A,N/A,Living life.,1872,N/A,N/A,James H. Earle,Boston,336 p.,N/A,N/A,N/A,N/A,Baptist clergyman in the New England and Middle Atlantic states.,Baptist clergyman,1806,1884,N/A,N/A
Andrews,Joel,N/A,N/A,N/A,N/A,Sketch of the life of Joel Andrews of Bethany: written by himself.,1850,N/A,N/A,"Storer & Store, printers",New Haven,48 p.,N/A,N/A,N/A,N/A,Methodist clergyman in Connecticut.,clergyman,1777,N/A,N/A,N/A
Andrews,John D.,N/A,N/A,N/A,N/A,Eight years in the toils; sketches from a gambler’s life.,1890,N/A,N/A,N/A,"Butte City, Mont.",225 p.,N/A,N/A,N/A,N/A,"A fantastic account, in Louisiana and South Carolina.",gambler,1860,N/A,N/A,N/A
Armstrong,William H.,N/A,N/A,N/A,N/A,Red-tape and pigeon-hole generals: as seen from the ranks during a campaign in the army of the Potomac.,1864,N/A,N/A,Carleton,N.Y.,318 p.,N/A,N/A,N/A,N/A,Experiences in the moving picture world.,Citizen soldier,N/A,N/A,N/A,N/A
Arliss,George,N/A,N/A,N/A,N/A,My ten years in the studios.,1940,N/A,N/A,"Little, Brown & co.",Boston,349 p.,N/A,N/A,N/A,N/A,The author tells of his frontier mining experiences in the Dakotas and of his services in the Union army.,Actor,1868,N/A,N/A,N/A
Applegate,Jesse A.,N/A,N/A,N/A,N/A,Recollections of my boyhood.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Oregon pioneer,1835,1919,N/A,N/A
Arms,Hiram Phelps,N/A,N/A,N/A,N/A,A brief sketch of the life of Rev. James Willard Schultz.,1916,N/A,N/A,Houghton Mifflin,Boston,226 p.,N/A,N/A,N/A,N/A,His youth in Montana.,N/A,1799,1822,N/A,N/A
Appel,Joseph Herbert,N/A,N/A,N/A,N/A,Growing up with advertising.,1940,N/A,N/A,"Business house, pubs.",N.Y.,301 p.,N/A,N/A,N/A,N/A,As described by the title.,N/A,1873,N/A,N/A,N/A
Aten,Ira,N/A,N/A,N/A,N/A,"Six and one-half years in the Ranger service. The memoirs of Ira Aten, Sergeant, Company D, Texas Rangers.",1899,1920,N/A,Wilmer Atkinson co.,Phila.,106 p.,N/A,N/A,N/A,N/A,N/A,clergyman,N/A,N/A,Minn,Iowa
Atwater,Francis,N/A,N/A,N/A,N/A,Memoirs of Francis Atwater.,1922,1945,N/A,Horton pr. co.,"Meriden, Conn.",313 p.,N/A,N/A,N/A,N/A,As described by the title.,Newspaper proprietor and businessman,1858,N/A,N/A,N/A
Atherton,Mrs. Gertrude Franklin Horn,N/A,N/A,N/A,N/A,The adventures of a novelist.,1932,N/A,N/A,Liveright,N.Y.,598 p.,N/A,N/A,N/A,N/A,"Largely in San Francisco, New York and London.",N/A,1857,1948,N/A,Connecticut
Auer,Leopold,N/A,N/A,N/A,N/A,My long life in music.,1923,N/A,N/A,Frederick A. Stokes company,N.Y.,377 p.,N/A,N/A,N/A,N/A,Devoted principally to his European career before coming to America after the Russian revolution but has a chapter on “Musical life in America”.,Violinist,1845,1930,N/A,N/A
Atkinson,Wilmer,N/A,N/A,N/A,N/A,"Wilmer Atkinson, an autobiography.",1923,N/A,N/A,Wartburg,Chicago,183 p.,N/A,N/A,YES,N/A,In the Master's vineyard.,Lutheran clergyman,1840,1920,N/A,N/A
Bagwell,James,N/A,N/A,N/A,N/A,"The grains, or, passage in the life of Ruth Rover.",1854,N/A,N/A,Carter & Austin printers,"Portland, Oreg.",42 p.,N/A,N/A,N/A,N/A,Thrilling narrative of the life of James Bagwell; who was tried for the murder of Solomon Jones.,teacher,N/A,N/A,"Somerset, Pa.",Oregon
Bailey,Thomas,N/A,N/A,N/A,N/A,"The life and labours of the Rev. Daniel Baker, D.D., pastor and evangelist.",1858,3d ed.,N/A,Presbyterian board of publication,Phila.,560 p.,N/A,N/A,N/A,N/A,"The life of Appleton R. Bailey, embracing a narrative of his adventures, imprisonments, and sufferings.",Presbyterian clergyman,b. 1786,N/A,Virginia,"Georgia, Alabama, Mississippi, Texas"
Baker,Ray Stannard,N/A,N/A,N/A,N/A,"Native American, the book of my youth, by David Grayson (pseud.).",1941,N/A,N/A,Scribner,N.Y.,336 p.,N/A,N/A,N/A,N/A,"A journalist and confidant of Pres. Wilson tells of his youth in Michigan and Wisconsin, and of his days as a cub reporter in Chicago.",journalist,1870,1946,N/A,"Providence, R.I."
Baker,James Hutchins,N/A,N/A,N/A,N/A,"Happy day, or the confessions of a woman minister.",1922,N/A,N/A,Grosset & Dunlap,N.Y.,480 p.,N/A,N/A,N/A,N/A,Confessions reflecting on the complexities of being a woman minister.,minister,1848,1925,N/A,Colorado
Bailey,Emma E.,N/A,N/A,N/A,N/A,It can’t happen here again.,1944,N/A,N/A,Knopf,N.Y.,177 p.,N/A,N/A,N/A,N/A,Reflections on societal changes and possibilities for the future.,N/A,1844,1921,N/A,N/A
Baldwin,James,N/A,N/A,N/A,N/A,In my youth.,N/A,N/A,N/A,N/A,Indianapolis,N/A,N/A,N/A,N/A,N/A,Recollections of childhood and youth experiences.,N/A,b. 1841,N/A,N/A,N/A
Ballon,Adin,N/A,N/A,N/A,N/A,The true narrative of the five years’ suffering and perilous adventures.,1896,N/A,N/A,Barclay,Phila.,108 p.,N/A,N/A,N/A,N/A,Abolitionist and Universalist clergyman who founded Hopedale Community. A missionary to the Sioux Indians in the Dakotas who married one.,"Abolitionist, Universalist clergyman",1803,1890,N/A,"Lowell, Mass.; Hopedale Community"
Bancroft,Hubert Howe,N/A,N/A,N/A,N/A,The works of Hubert Howe Bancroft.,N/A,189L,vol. 39,N/A,San Francisco,N/A,N/A,N/A,N/A,N/A,Publisher of histories.,Historian,1832,1918,N/A,N/A
Bangs,Herman,N/A,N/A,Bare,D. M.,The autobiography and journal of Rev. Herman Bangs.,1846,1943,N/A,"Little, Brown",Boston,314 p.,N/A,N/A,N/A,N/A,Edited by his daughters.,Methodist minister,1790,1869,N/A,"New York, Connecticut"
Bangs,John,N/A,N/A,N/A,N/A,"My recollections, 1848-1931.",N/A,1933,N/A,Santa Barbara,Calif.: Schauer,204 p.,N/A,N/A,N/A,N/A,Autobiography.,Methodist clergyman,1781,1849,N/A,N/A
Barker,Albert Smith,N/A,N/A,N/A,N/A,"The author tells of her efforts, upon returning to America to accustom herself to America.",1902,1928,N/A,"Dodd, Mead",N.Y.,317 p.,N/A,N/A,N/A,N/A,Autobiography of a ‘newspaper reporter in New York’,Reporter,1843,1916,N/A,N/A
Barnum,Phineas Taylor,N/A,N/A,N/A,N/A,Life of P. T. Barnum.,N/A,189L,N/A,Pr. by the Courier co.,Buffalo,356 p.,N/A,N/A,N/A,N/A,"Reminiscences of Henry Clay Barnabee; being an attempt to account for his life, with some excuses for his professional career.",Showman,1810,189L,N/A,N/A
Barr,Amelia Edith Huddleston,N/A,N/A,N/A,N/A,Three score and ten; a book for the aged.,1915,N/A,N/A,Appleton,N.Y. & London,326 p.,N/A,N/A,N/A,N/A,Newspaper man who was for many years a foreign correspondent in France.,Novelist,1831,1919,N/A,N/A
Barrows,John Rumsey,N/A,N/A,N/A,N/A,My log.,1917,N/A,N/A,The Franklin press,Philadelphia,152 p.,N/A,N/A,N/A,N/A,N/A,"Surgeon, educator",1864,N/A,N/A,N/A
Bartlett,William Sylvester,N/A,N/A,N/A,N/A,My foot’s in the stirrup.,1932,N/A,N/A,Southwest press,"Dallas, Texas",221 p.,N/A,N/A,N/A,N/A,Account of a Texas ranger and frontiersman.,"Texas ranger, frontiersman",N/A,N/A,N/A,N/A
Barry,James Buckner,N/A,N/A,N/A,N/A,Impressions and opinions; an autobiography.,N/A,N/A,N/A,N.P.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Courier, scout",1858,1931,N/A,N/A
Barton,Charles Vaden,N/A,N/A,N/A,N/A,Romance and reality in the life of Earl Count Courtney.,N/A,N/A,N/A,Pr. by C.V. Barton,"Washington, D.C.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1862,N/A,N/A,N/A
Barton,Clara Harlowe,N/A,N/A,N/A,N/A,The story of my childhood.,1907,N/A,N/A,Baker & Taylor,New York,125 p.,N/A,N/A,N/A,N/A,N/A,Founder of the American Red Cross,1821,1912,N/A,N/A
Baxter,John M.,N/A,N/A,N/A,N/A,"Incidents on land and water; or, four years on the Pacific coast.",1858,N/A,N/A,James French,Boston,336 p.,N/A,N/A,N/A,N/A,N/A,"Bishop, merchant",N/A,N/A,N/A,California
Bayley,John,N/A,N/A,N/A,N/A,Confessions of a converted infidel.,1854,N/A,N/A,Dodd,New York,408 p.,N/A,N/A,N/A,N/A,The author tells of his railroad experiences in Australia.,"Methodist clergyman, railroad worker",1814,1880,N/A,N/A
Beach,Rex Ellingwood,N/A,N/A,N/A,N/A,Personal exposures.,1940,N/A,N/A,Harper,New York,303 p.,N/A,N/A,N/A,N/A,N/A,"Novelist, screenwriter",1877,N/A,N/A,N/A
Beadle,William Henry Harrison,N/A,N/A,N/A,N/A,Autobiography,1938,N/A,N/A,State historical society,"Pierre, S.D.",160 p.,N/A,N/A,N/A,N/A,N/A,N/A,1838,1915,N/A,N/A
Beard,Daniel Carter,N/A,N/A,N/A,N/A,My own life,1938,2d ed.,N/A,"Doubleday, Doran",N.Y.,361 p.,N/A,N/A,N/A,N/A,The founder of the Boy Scout movement tells mainly of his youth and work as illustrator.,illustrator,1850,1941,N/A,N/A
Beau,Clyde,N/A,N/A,N/A,N/A,Here we rest,1941,N/A,N/A,N.p.,N/A,102 p.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beale,George William,N/A,N/A,N/A,N/A,A lieutenant of cavalry in Lee’s army,1918,N/A,N/A,Gorham press,Boston,231 p.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beardsley,Isaac Haight,N/A,N/A,N/A,N/A,Echoes from peak and plain,1898,N/A,N/A,Eaton & Mains,N.Y.,605 p.,N/A,N/A,N/A,N/A,N/A,N/A,1831,N/A,N/A,N/A
Beal,Fred E.,N/A,N/A,N/A,N/A,"Glass houses, ten years of free-lancing",1938,N/A,N/A,J. B. Lippincott co.,Phila.,413 p.,N/A,N/A,N/A,N/A,"A roving journalist, especially in Mexico.",journalist,N/A,N/A,N/A,N/A
Beardsley,Levi,N/A,N/A,N/A,N/A,Reminiscences,1852,N/A,N/A,Pr. by Charles Vinten,N.Y.,567 p.,N/A,N/A,N/A,N/A,N/A,N/A,1785,N/A,N/A,N/A
Beals,Carleton,N/A,N/A,N/A,N/A,The great circle; further adventures in free-lancing,N/A,N/A,N/A,J. B. Lippincott,Phila.,413 p.,N/A,N/A,N/A,N/A,N/A,N/A,1893,N/A,N/A,N/A
Bear,Luther Standing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dakotan who was Superintendent of Public Instruction, a college president, and a member of the state legislature.","Superintendent of Public Instruction, college president",N/A,N/A,N/A,N/A
Bean,Ellis Peter,N/A,N/A,N/A,N/A,Memoir,1930,N/A,N/A,The book club of Texas,Houston,110 p.,N/A,N/A,N/A,N/A,"An account of an adventurer and soldier in Mexico, the veracity of which has been questioned.",soldier,1783,1846,N/A,N/A
Beauchamp,Jereboam O.,N/A,N/A,N/A,N/A,The confession of Jereboam Beauchamp,1854,N/A,N/A,H. T. Goodsell,Kentucky,100 p.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1826,N/A,N/A
Bean,George Washington,N/A,N/A,N/A,N/A,Autobiography,1945,N/A,N/A,Utah pr. co.,Salt Lake City,377 p.,N/A,N/A,N/A,N/A,Utah pioneer.,N/A,1831,N/A,N/A,N/A
Beaudry,Louis Napoleon,N/A,N/A,N/A,N/A,Spiritual struggles of a Roman Catholic convert to Protestantism,1875,N/A,N/A,Nelson & Phillips,N.Y.,275 p.,N/A,N/A,N/A,N/A,N/A,N/A,1833,1892,N/A,N/A
Beckwourth,James P.,N/A,N/A,N/A,N/A,The life and adventures of James P. Beckwourth,1856,N/A,N/A,Harper,N.Y.,537 p.,N/A,N/A,N/A,N/A,A white hunter who became a Crow chief.,N/A,1798,1867,N/A,N/A
Belew,Edwin Clark,N/A,N/A,N/A,N/A,"My old Kentucky home, or experiences from life",N.A.,1937,N/A,Viking,N.Y.,151 p.,N/A,N/A,N/A,N/A,A narrative of experiences during service in the U.S. army during World War I.,School teacher,N/A,N/A,Oregon,N/A
Bemis,Stephen Allen,N/A,N/A,N/A,N/A,Recollections,1925,1932,N/A,Nazarene pub. house,Mo.:,48 p.,N/A,N/A,N/A,N/A,A memoir of life as a Nazarene preacher in Kentucky.,Nazarene preacher,1828,N/A,N/A,Kentucky
Bell,Horace,N/A,N/A,N/A,N/A,"Reminiscences of a ranger; or, early times in the old West",1881,N/A,N/A,priv. pr.,Los Angeles,N/A,N/A,N/A,N/A,N/A,Personal accounts of experiences as a ranger in early America.,N/A,N/A,N/A,N/A,N/A
Benedict,Carl Peters,N/A,N/A,N/A,N/A,Tenderfoot kid on gyp water,1943,N/A,N/A,Texas folklore soc.,Austin,115 p.,N/A,N/A,N/A,N/A,Accounts from a Texas cowboy and state senator.,"Lawyer, State senator",N/A,N/A,North Carolina,N/A
Benedict,George,Bellingall,P.W.,N/A,N/A,Christ finds a rabbi,1932,N/A,N/A,Phila.,N/A,399 p.,N/A,N/A,N/A,N/A,A spiritual account by a rabbi converted to Christianity.,Rabbi,1887,N/A,N/A,N/A
Benedict,Jennie Carter,N/A,N/A,N/A,N/A,The road to Dream Acre,1928,N/A,N/A,Standard printing co.,Louisville,115 p.,N/A,N/A,N/A,N/A,Stray leaves from the portfolio of a Methodist local preacher.,Methodist local preacher,1860,N/A,N/A,South Carolina
Benedict,Leopold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Benham,W. E.,N/A,N/A,N/A,N/A,The life and writings of W. E. Benham,1882,N/A,N/A,"Meriden, Conn.",N/A,240 p.,YES,Charles Peabody,N/A,N/A,Memoirs dictated to Charles Peabody by the author.,"Temperance worker, peddler of religious books",1820,N/A,N/A,Texas
Berger,N/A,N/A,N/A,N/A,N/A,Bic knell,1893,N/A,N/A,Pub. by author,"Kramer, Ga.",338 p.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bertram,Charles A.,N/A,N/A,N/A,N/A,Magician in many lands.,1911,N/A,N/A,Dutton,N.Y.,315 p.,N/A,N/A,N/A,N/A,An English magician who toured the U.S.,Magician,N/A,N/A,N/A,N/A
Beston,Henry,N/A,N/A,N/A,N/A,In and out of Catholicism...,1916,N/A,N/A,Houghton Mifflin,N.Y.,217 p.,N/A,N/A,N/A,N/A,The story of her conversion to the United Brethren faith.,N/A,1888,N/A,N/A,N/A
Betts,Frederick William,N/A,N/A,N/A,N/A,Forty fruitful years.,1929,N/A,N/A,Murray press,Boston,384 p.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Berkman,Alexander,N/A,N/A,N/A,N/A,Prison memoirs of an anarchist.,1912,N/A,N/A,Mother Earth pub. co.,N.Y.,512 p.,N/A,N/A,N/A,N/A,Life in prison by a radical reformer who was convicted of illegal activities during the Homestead strike.,Anarchist,1870,1936,N/A,N/A
Bibb,Henry,N/A,N/A,N/A,N/A,Narrative...Slave.,1849,N/A,N/A,N.Y.,N.Y.,204 p.,N/A,N/A,N/A,N/A,N/A,N/A,1815,N/A,N/A,N/A
